"sigmoidal_survival";"laplace";"sigma12";"sigma21";"autocorr";"freq1";"qmat";"qjuv";"sd_hc_noise";"sd_hp_noise";"sd_vc_noise";"sd_vp_noise";"sd_mat_phen_noise";"nloci_g";"init_g";"init_aintercept";"init_ajuv";"init_agen";"init_bmat_phen";"init_bmat_envt";"init_hp";"init_hc";"init_vp";"init_vc";"gmin";"gmax";"amin";"amax";"bmin";"bmax";"mu_g";"sdmu_g";"mu_ajuv";"mu_agen";"mu_aintercept";"juvenile_survival";"envt_change_at_birth";"juvenile_learns_remote_envt";"adult_survival";"mu_bmat_phen";"mu_bmat_envt";"mu_vc";"mu_vp";"mu_hc";"mu_hp";"mu_vc_t0";"mu_vp_t0";"mu_hc_t0";"mu_hp_t0";"mu_vc_t1";"mu_vp_t1";"mu_hc_t1";"mu_hp_t1";"sdmu_a";"sdmu_b";"NPatches";"NBreeder";"m";"nph";"nch";"npv";"ncv";"survival_scalar0";"survival_scalar1";"seed";"generation";"mean_phen_ad";"mean_phen_juv";"mean_phen_prestige_vert";"mean_phen_prestige_horiz";"mean_aintercept";"mean_agen";"mean_ajuv";"mean_bmat_phen";"mean_bmat_envt";"mean_hc";"mean_hp";"mean_vc";"mean_vp";"mean_g";"var_phen_ad";"var_phen_juv";"var_phen_prestige_vert";"var_phen_prestige_horiz";"var_aintercept";"var_agen";"var_ajuv";"var_bmat_phen";"var_bmat_envt";"var_hc";"var_hp";"var_vc";"var_vp";"var_g";"freq_high";"mean_surv0";"mean_surv1";"var_surv0";"var_surv1";"Unnamed..34";"envt_cor_cue_ad_envt_high";"envt_cor_cue_juv_envt_high";"envt_cor_envt_prev";"envt_cor_envt_sel";"envt_cor_g";"envt_cor_maternal_envt_cue_error";"envt_cor_phen_ad";"envt_cor_phen_ad_logistic";"envt_cor_phen_juv";"envt_cor_phen_juv_logistic";"envt_cor_phen_mat";"envt_cor_phen_mat_error";"envt_cor_phen_prestige_horiz";"envt_cor_phen_prestige_horiz_error";"envt_cor_phen_prestige_vert";"envt_cor_phen_prestige_vert_error";"envt_cor_xconformist_horiz";"envt_cor_xconformist_horiz_error";"envt_cor_xconformist_vert";"envt_cor_xconformist_vert_error";"eta2_agen_X_g";"eta2_aintercept";"eta2_ajuv_X_cue_juv_envt_high";"eta2_bmat_envt_X_maternal_envt_cue_eror";"eta2_bmat_phen_X_phen_mat_error";"eta2_hc_X_xconformist_horiz_error";"eta2_hp_X_phen_prestige_horiz_error";"eta2_jv_agen_X_g";"eta2_jv_aintercept";"eta2_jv_ajuv_X_cue_juv_envt_high";"eta2_jv_bmat_envt_X_maternal_envt_cue_eror";"eta2_jv_bmat_phen_X_phen_mat_error";"eta2_jv_vc_X_xconformist_vert_error";"eta2_jv_vp_X_phen_prestige_vert_error";"eta2_vc_X_xconformist_vert_error";"eta2_vp_X_phen_prestige_vert_error";"var_phen_ad.1";"var_phen_ad_logistic";"var_phen_juv.1";"var_phen_juv_logistic";"file"
0;1;0.382878;0.0998811;0.517241;0.206897;0.5;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;40;100;0.1;5;5;5;5;0.8;0;4265548214;50000;0.700543;0.658782;0.749513;0.689994;0.605514;-0.0278409;0.0826596;-1.25957;0.000859867;-1.36271;5.22507;-0.0213168;1.44871;0.10558;0.0417943;0.0099814;0.0610228;0.0216878;0.00169148;0.00678234;0.0125643;0.347281;0.199601;0.212456;0.240759;0.212489;0.225682;0.546036;0.8;0.691021;0.961149;0.0383517;0.00283701;NA;0.177002608098468;-0.0132500811569958;0.354604071633488;1;0.0145825314596362;0.199207439942264;0.325647120626271;0.321279798168137;0.187035197371217;0.185458201354071;0.148709389502406;0.148709389502406;0.350465837564732;0.350465837564732;0.233554664139495;0.233554664139495;0.0874108199151578;0.0874108199151578;0.126899768036457;0.126899768036457;0.00637028829833274;0.00261624356873015;0.00752340254680123;0.0765633757946062;0.0789965778963628;0.12370292902995;0.514508772574896;0.0152581279310994;0.00627130066397264;0.0180232399301661;0.18429621669026;0.189991602255836;0.196894467901292;0.389265044612325;0.082145165018339;0.107573245253913;0.0418047846249763;1.09135359275909;0.00998389477941935;0.213830751478569;"./sim_cue_integration_14_10_2020_162948_385.csv"
0;1;0.727705;0.444709;-0.172414;0.37931;0.5;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;40;100;0.1;5;5;5;5;0.8;0;1188945594;50000;0.577069;0.634377;0.600829;0.660809;0.595587;-0.0293436;-0.103578;-0.6853;-0.00926268;0.111399;-1.85234;0.148834;-0.452322;0.034425;0.00978259;0.00578449;0.0198135;0.00688899;0.00590144;0.00322748;0.00409143;0.452669;0.132645;0.114689;0.362056;0.160439;0.55669;0.475514;0.65;0.750709;0.850951;0.00741743;0.00525114;NA;0.323385661654905;0.0106413694640226;0.0109890109890121;1;0.047889297508169;-0.0802487941086171;0.0267151079330082;0.0274350450218074;0.026739025446685;0.0263093927503397;-0.0548469882606941;-0.0548469882606941;0.0352789217580668;0.0352789217580668;-0.0621286047448143;-0.0621286047448143;0.0157439648222275;0.0157439648222275;-0.0588495789741709;-0.0588495789741709;0.0106727389974722;0.0326075018773185;0.0205898489658891;0.184321949391519;0.0658308823832119;0.157909578617607;0.185342351707929;0.0161120168672212;0.0493712638460521;0.0311231203646256;0.278328914855273;0.100597561690936;0.349964521130403;0.174502601234976;0.231718449323657;0.1110066987269;0.00978503631090289;0.176883838726615;0.0057859354532893;0.11089659770776;"./sim_cue_integration_14_10_2020_162948_103.csv"
0;1;0.156956;0.601665;0.241379;0.793103;0.5;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;40;100;0.1;5;5;5;5;0.8;0;2509327970;50000;0.279394;0.357967;0.230818;0.302077;-0.541084;0.0342492;0.118472;-0.939568;0.148476;-0.143712;2.43005;0.0209877;0.95216;0.0494781;0.0143671;0.00947964;0.0240058;0.0148568;0.0144623;0.00589951;0.00944414;0.353747;0.186253;0.160585;0.532742;0.168282;0.528005;0.534154;0.225;0.937697;0.637399;0.0025598;0.021007;NA;-0.221020409786162;0.0128161774782307;0.139784946236548;1;0.018558009250777;-0.249018484941465;0.0658406687866359;0.0738162919966884;0.0226525117224842;0.0275897127064568;0.11555797217695;0.11555797217695;0.134757373411446;0.134757373411446;0.174717472745629;0.174717472745629;-0.00203248969560852;-0.00203248969560852;0.0445935677639383;0.0445935677639383;0.0103412174690035;0.0403479257091129;0.0165205483144778;0.145340526239609;0.0836280328703025;0.112642304505378;0.292103054748358;0.0167371282148504;0.0653957867461935;0.0267392967711342;0.23625145238927;0.136606613902544;0.188061162480688;0.330208559483302;0.116209820315032;0.182866569810766;0.0143706804422843;0.403051258016955;0.00948200637342612;0.198819721564423;"./sim_cue_integration_14_10_2020_162948_282.csv"
0;1;0.235434;0.523187;0.241379;0.689655;0.5;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;40;100;0.1;5;5;5;5;0.8;0;1385746227;50000;0.357378;0.42085;0.33539;0.397829;-0.476854;0.0798229;-0.169616;-1.09082;-0.0444882;0.255208;1.89246;-0.467473;1.06758;0.133701;0.0158268;0.00933926;0.0331037;0.0178319;0.00315009;0.0164874;0.00701973;0.320962;0.171536;0.125281;0.702334;0.118033;0.478191;0.622821;0.25;0.905359;0.695195;0.00526575;0.0169908;NA;0.204385006865824;-0.025115267275374;0.268328157299975;1;-0.042827389240563;0.128392841156513;0.170478502592585;0.172105801256164;0.0741775156272986;0.0742155716898734;0.205558951741771;0.205558951741771;0.274943697195364;0.274943697195364;0.289805477216614;0.289805477216614;0.0619583516690227;0.0619583516690227;0.176975776890908;0.176975776890908;0.0473537243604876;0.0105591105039466;0.0301046411555557;0.145702409852081;0.0887510299805794;0.120659774852343;0.223091247845007;0.0686637166236379;0.0153326129276515;0.043639782872513;0.211571394656429;0.129625610190008;0.252455802300038;0.278711080422321;0.173537954323546;0.160240107113517;0.0158307823402949;0.343812163512885;0.00934159959756963;0.171225789350464;"./sim_cue_integration_14_10_2020_162948_279.csv"
0;1;0.0237812;0.321046;0.655172;0.931034;0.5;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;40;100;0.1;5;5;5;5;0.8;0;30965953;50000;0.0682495;0.257244;0.0383601;0.142641;-0.603656;-0.191961;-0.384111;-1.39005;-0.110217;-0.547204;6.59276;-0.112387;2.66861;-0.0558582;0.0159416;0.018023;0.0154335;0.012186;0.0152106;0.00329099;0.0039817;0.580972;0.436732;1.16381;1.1875;0.304794;0.615651;0.675531;0.075;0.98269;0.612137;0.00781184;0.0418746;NA;-0.109289867335298;0.00598101433233217;0.56235159485796;1;0.0279663052530663;0.290891451631992;0.461600447809206;0.289036869438545;0.133027194446614;0.108451189425637;0.189111032018476;0.189111032018476;0.455067437892084;0.455067437892084;0.394380245944935;0.394380245944935;0.36460952365353;0.36460952365353;0.0593900454271365;0.0593900454271365;0.0181475098697553;0.0102947573086618;0.0257023790224625;0.0755733818622749;0.0940824000939395;0.200704252320646;0.386260090030898;0.0413775735183015;0.023414329741676;0.0584303174638766;0.173194832575744;0.214551770457739;0.118128851868878;0.370902324360157;0.0518375818511778;0.137397647629149;0.0159456107035887;1.74575824399131;0.0180275403595098;0.559696105013835;"./sim_cue_integration_14_10_2020_162948_466.csv"
0;1;0.059453;0.00951249;0.931034;0.137931;0.5;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;40;100;0.1;5;5;5;5;0.8;0;4238773424;50000;0.923532;0.706428;0.941932;0.829307;0.40419;0.0795758;0.39568;-1.66357;-0.0531229;-0.908542;8.93948;-1.11124;4.12285;-0.251922;0.0384831;0.0259147;0.0461966;0.0244633;0.0182967;0.00875925;0.0112382;0.301055;0.821003;0.479271;0.271641;0.303109;0.653078;0.65826;0.95;0.978037;0.998194;0.00300681;4.541e-05;NA;-0.197234889993287;-0.0262683674967472;1;1;0.060163023030666;-0.200061422276315;0.970034680648237;0.81648035304528;0.450711889345708;0.405875943018128;0.874469334172092;0.874469334172092;0.92437457448524;0.92437457448524;0.898707499611105;0.898707499611105;0.869651111685147;0.869651111685147;0.899189835074873;0.899189835074873;0.00627242775722774;0.0110038665773835;0.0252997856689996;0.123209741208992;0.0481474568248764;0.0802809369956019;0.474885367712878;0.0124031789482367;0.021760021784684;0.050058374974915;0.24385519215601;0.0985019230107577;0.102066493765699;0.471354815346468;0.0507471499801991;0.180153267259774;0.0384927077843862;3.21988888642116;0.0259211860941649;0.711060809417749;"./sim_cue_integration_14_10_2020_162948_563.csv"
0;1;0.413793;0;0.586207;0;0.5;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;40;100;0.1;5;5;5;5;0.8;0;484828671;50000;0.998054;0.975199;0.999937;0.996934;0.375984;0.304062;0.615838;2.51075;-6.45192;4.67537;2.45036;6.66011;4.49631;0.0652939;7.48313e-05;0.00242285;3.10452e-08;3.06797e-05;0.0396413;0.043364;0.0251396;0.810649;2.59984;5.14661;2.05756;2.45484;0.667262;0.599407;1;NA;0.999942;NA;1.08725e-06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.006408123117332;0.00302336814555874;0.00771063016202646;0.771274534777257;0.0153856008121382;0.0980861962406533;0.0387230617876436;0.00740959191420647;0.00349528586894061;0.00891348093919831;0.89367792079518;0.0178021049358556;0.0540975116675677;0.0146041038609709;0.0467693685022863;0.0126191164277465;7.48500653110715e-05;13.1660756559635;0.00242345835630812;11.3987884472614;"./sim_cue_integration_14_10_2020_162948_409.csv"
0;1;0.370987;0.456599;0.172414;0.551724;0.5;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;40;100;0.1;5;5;5;5;0.8;0;2382581887;50000;0.465559;0.473929;0.453685;0.46307;-0.121449;-0.0408097;-0.033449;-0.73545;-0.0514348;-0.111546;1.51421;-0.0694576;0.917116;-0.063524;0.0111213;0.00574175;0.0191214;0.0128189;0.00402862;0.00555446;0.0102299;0.514144;0.104012;0.177405;0.405124;0.112764;0.349097;0.683193;0.375;0.827041;0.76179;0.00564485;0.00874682;NA;0.143634470236317;-0.0170419788435554;0.233549683248441;1;-0.0244652358976703;0.04518663580156;0.0912227044807701;0.0899358794418577;0.0441998402633035;0.0440774671548563;0.0139299820846792;0.0139299820846792;0.195434958915966;0.195434958915966;0.155669599833202;0.155669599833202;0.109271300777181;0.109271300777181;0.0448141597457848;0.0448141597457848;0.0286354312074561;0.0238502178023375;0.0168289277740685;0.155398980743309;0.0689444029354641;0.277380011453622;0.151778580270249;0.0471651360047116;0.0392945682469418;0.0277112094162969;0.256165601114094;0.113568755526591;0.285965839624225;0.23012889006189;0.173644334616813;0.103539113189749;0.0111241143240207;0.19695933606818;0.00574318376360779;0.0969580639697926;"./sim_cue_integration_14_10_2020_162948_245.csv"
0;1;0.653983;0.104637;0.241379;0.137931;0.5;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;40;100;0.1;5;5;5;5;0.8;0;2720029004;50000;0.780887;0.682208;0.832269;0.743028;0.640747;-0.00995818;0.0477888;-1.44307;0.054187;-0.0721134;2.52923;0.293585;1.25052;-0.201844;0.0113365;0.00816949;0.0135606;0.0118279;0.00786666;0.00227168;0.00638649;0.305164;0.169655;0.238459;0.442988;0.252554;0.328195;0.498999;0.875;0.515885;0.954567;0.0187661;0.00218639;NA;0.0755928946018454;0.000567077790517697;0.422760021606697;1;0.0442286394220102;-0.122215349438521;0.163949233770168;0.160509556175673;0.0503523415306445;0.0510435502933281;-0.0115017039883743;-0.0115017039883743;0.30836966805909;0.30836966805909;0.223557145746346;0.223557145746346;-0.0103548671936833;-0.0103548671936833;-0.0189218908152173;-0.0189218908152173;0.0035307035647315;0.0213985286960805;0.00589824295175161;0.117088827812856;0.117628380422635;0.157491487122142;0.259821441976917;0.00586149160945095;0.0355469953022688;0.00978662174162473;0.194387894006429;0.19987830366982;0.282501681789288;0.272037011859968;0.169943437321236;0.147198950105848;0.0113392869999995;0.403445513715343;0.00817153488521997;0.191635417497133;"./sim_cue_integration_14_10_2020_162948_263.csv"
0;1;0.297265;0.0475624;0.655172;0.137931;0.5;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;40;100;0.1;5;5;5;5;0.8;0;4211257990;50000;0.818406;0.636026;0.851698;0.718332;0.266429;-0.00239418;-0.153196;-0.849259;-0.128405;-0.247467;6.81485;0.0635488;1.56217;0.0745673;0.0517125;0.0172034;0.0714349;0.0267126;0.00223624;0.0120396;0.011793;0.271175;0.352632;0.260161;0.488899;0.252826;0.376006;0.424434;0.825;0.798428;0.988106;0.0541122;0.000384465;NA;0.129768784983321;-0.00457354699517656;0.912103488157697;1;0.0655451601551765;-0.266053345115861;0.831732553918401;0.748168049061864;0.361671485508378;0.345518615141278;0.666759058574207;0.666759058574207;0.827754548429873;0.827754548429873;0.744794309443864;0.744794309443864;0.558185526314232;0.558185526314232;0.715998234042431;0.715998234042431;0.00467674991187928;0.00200394298131842;0.00789664241038883;0.0821922068113313;0.0452892074383701;0.0609773407624954;0.628519092986269;0.0131161519382597;0.00561961081044386;0.0221460394152527;0.231462570504561;0.131441961854075;0.157346106095418;0.438867559369517;0.0560797127976381;0.112365103886496;0.0517254174726573;2.08272564483298;0.0172077122562007;0.363560837415792;"./sim_cue_integration_14_10_2020_162948_443.csv"
