amin;npv;mu_g;init_hc;qmat;mu_agen;laplace;init_asoc_horiz;bmin;bmax;amax;m;mu_hp;sigmoidal_survival;sdmu_b;juvenile_survival;qjuv;sdsoc_horiz;init_asoc_vert;p;init_agen;init_bmat_phen;init_amat;sdmu_g;survival_scalar1;gmax;seed;gmin;mu_asoc_vert;nph;sdmu_a;mu_vc;ncv;init_vc;mu_amat;mu_vp;init_g;mu_ajuv;sdsoc_vert;init_vp;mu_bmat_envt;nloci_g;init_ajuv;nch;mu_asoc_horiz;survival_scalar0;mu_hc;init_bmat_envt;mu_bmat_phen;init_hp;sdmat;generation;mean_phen_ad;mean_phen_juv;mean_phen_prestige_vert;mean_phen_prestige_horiz;mean_agen;mean_ajuv;mean_amat;mean_asoc_vert;mean_asoc_horiz;mean_bmat_phen;mean_bmat_envt;mean_hc;mean_hp;mean_vc;mean_vp;mean_g;var_phen_ad;var_phen_juv;var_phen_prestige_vert;var_phen_prestige_horiz;var_agen;var_ajuv;var_amat;var_asoc_vert;var_asoc_horiz;var_bmat_phen;var_bmat_envt;var_hc;var_hp;var_vc;var_vp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;var_component_gen;var_component_ajuv;var_component_amat;var_component_amat_envt;var_component_amat_phen;cov_amat_phen_amat_envt;cov_amat_ajuv;cov_amat_envt_ajuv;cov_amat_phen_ajuv;var_component_asoc_vert;var_component_asoc_vert_p;var_component_asoc_vert_c;var_component_asoc_horiz;var_component_asoc_horiz_p;var_component_asoc_horiz_c;cov_amat_asoc_vert;cov_amat_asoc_vert_c;cov_amat_asoc_vert_p;cov_amat_asoc_horiz;cov_amat_asoc_horiz_c;cov_amat_asoc_horiz_p;cov_amat_envt_asoc_vert;cov_amat_envt_asoc_vert_c;cov_amat_envt_asoc_vert_p;cov_amat_envt_asoc_horiz;cov_amat_envt_asoc_horiz_c;cov_amat_envt_asoc_horiz_p;cov_amat_phen_asoc_vert;cov_amat_phen_asoc_vert_c;cov_amat_phen_asoc_vert_p;cov_amat_phen_asoc_horiz;cov_amat_phen_asoc_horiz_c;cov_amat_phen_asoc_horiz_p;cov_ajuv_asoc_vert;cov_ajuv_asoc_vert_c;cov_ajuv_asoc_vert_p;cov_ajuv_asoc_horiz;cov_ajuv_asoc_horiz_c;cov_ajuv_asoc_horiz_p;cov_agen_asoc_vert;cov_agen_asoc_vert_c;cov_agen_asoc_vert_p;cov_agen_asoc_horiz;cov_agen_asoc_horiz_c;cov_agen_asoc_horiz_p;cov_agen_ajuv;file
0;5;0.01;0;1;0.01;1;0;-10;10;8;0.1;0.01;0;0.25;1;0.75;1;0;0;0;0;0;0.25;0;1;1072394971;-1;0.01;5;0.02;0.01;5;0;0.01;0.01;0;0.01;1;0;0.01;3;0;5;0.01;0.8;0.01;0;0.01;0;1;75000;0.515621;0.507962;0.540069;0.53008;0.0615017;0.0485096;0.0582803;0.0542267;0.0753497;-1.82805;6.21392;-4.70213;-1.43429;-7.59856;-2.35511;-0.694162;0.000503859;0.000398067;0.000283898;0.000215263;0.00140745;0.00116025;32243;0.00132102;0.00230659;10.6548;2.72503;6.12926;17.0695;2.2148;7.1144;0.532837;0;-nan;0.810857;-nan;0.00030874;0.00344254;0.00116025;0.00085666;0.000856965;0.00113604;0.00088161;-3.55622e-06;-3.61214e-06;-1.52727e-06;0.000900835;0.00110575;0.000900985;0.00184066;0;0;-1.33695e-06;-1.31357e-06;1.48498e-06;-4.74921e-06;0;0;-1.34768e-06;-1.32432e-06;1.46898e-06;-4.7052e-06;0;0;-3.83836e-06;-3.80241e-06;-2.61635e-06;-7.3999e-06;0;0;-3.13447e-06;-3.10254e-06;-2.78373e-06;9.14661e-06;0;0;-3.39681e-05;-3.39661e-05;-1.50236e-05;-5.70911e-05;0;0;-1.07456e-05;./sim_cue_integration_15_11_2019_224131_1094569926
0;5;0.01;0;0.5;0.01;1;0;-10;10;8;0.1;0.01;0;0.25;1;0.75;0.05;0;0;0;0;0;0.25;0;1;1083176726;-1;0.01;5;0.02;0.01;5;0;0.01;0.01;0;0.01;1;0;0.01;3;0;5;0.01;0.8;0.01;0;0.01;0;0.05;75000;0.530127;0.496477;0.578364;0.525407;0.108318;0.0484847;0.0653032;0.0542611;0.245914;-8.32875;1.07877;-6.99045;-5.254;-5.91433;5.67349;-0.929713;0.00162988;0.000740586;0.000557861;0.000342771;0.00237109;0.00110498;31753;0.00172567;0.00670375;1.36782;2.05319;3.75907;5.51754;4.19237;4.11152;0.475423;0;-nan;0.82489;-nan;0.000859307;0.00869069;0.00113094;0.000971864;0.00106703;0.000381544;0.00041467;-1.87014e-05;-1.86806e-05;1.10116e-07;0.00101736;0.00138728;0.00101052;0.0170886;0;0;7.08465e-06;7.22303e-06;3.94289e-06;-0.000294088;0;0;8.7979e-06;8.93563e-06;6.56941e-06;-0.000267689;0;0;-4.13968e-07;-3.59371e-07;-3.8851e-06;-9.24087e-05;0;0;6.96369e-06;6.91097e-06;8.99569e-07;-3.88677e-05;0;0;3.10149e-05;3.06303e-05;2.75345e-05;-0.000767775;0;0;3.01918e-05;./sim_cue_integration_15_11_2019_224131_1123133395
0;5;0.01;0;0.5;0.01;1;0;-10;10;8;0.1;0.01;0;0.25;1;0.75;0.05;0;0;0;0;0;0.25;0;1;1122120885;-1;0.01;5;0.02;0.01;5;0;0.01;0.01;0;0.01;1;0;0.01;3;0;5;0.01;0.8;0.01;0;0.01;0;1;75000;0.536032;0.488043;0.581703;0.518945;0.1148;0.0544628;0.0561273;0.0561076;0.407711;-2.89333;6.049;-0.13137;-9.09143;-5.27252;-1.05185;-1.19142;0.0011347;0.000850113;0.000493497;0.0003387;0.00244739;0.00135137;31409;0.00149836;0.00631277;7.82235;6.75;0.375218;0.378315;6.00537;11.9391;0.43291;0;-nan;0.832399;-nan;0.000631507;0.010214;0.0014425;0.00117412;0.00117539;0.00114171;0.000998523;5.80603e-06;5.94353e-06;-8.22491e-06;0.00094393;0.00122848;0.000945931;0.00544243;0;0;-7.51372e-06;-7.47881e-06;-5.74615e-06;-4.16192e-05;0;0;-7.42648e-06;-7.39441e-06;-5.62652e-06;-4.11498e-05;0;0;-1.22453e-05;-1.22452e-05;-1.30302e-05;-1.95856e-05;0;0;-6.65628e-06;-6.66742e-06;-5.85744e-06;1.18294e-05;0;0;-1.84873e-05;-1.78616e-05;-8.39082e-07;-0.000305885;0;0;-6.10658e-05;./sim_cue_integration_15_11_2019_224131_1143876434
0;5;0.01;0;0.75;0.01;1;0;-10;10;8;0.1;0.01;0;0.25;1;0.75;0.05;0;0;0;0;0;0.25;0;1;1150781744;-1;0.01;5;0.02;0.01;5;0;0.01;0.01;0;0.01;1;0;0.01;3;0;5;0.01;0.8;0.01;0;0.01;0;1;75000;0.540085;0.480763;0.595796;0.515119;0.13784;0.0599681;0.0675436;0.0622599;0.576877;-3.0591;-2.60171;0.339495;-9.29165;-5.71718;-3.24167;-1.31657;0.00155984;0.000983077;0.00073536;0.000438821;0.00204854;0.00122084;31333;0.00175199;0.0108947;15.7269;11.2265;0.311349;0.277277;4.09393;4.68639;0.380742;0;-nan;0.837141;-nan;0.000810001;0.01146;0.00157564;0.00173609;0.00174193;0.00159176;0.00148874;3.35724e-05;3.40274e-05;2.53418e-05;0.00113514;0.00145691;0.00113964;0.00953951;0;0;3.77172e-06;3.74872e-06;1.78348e-06;-2.11924e-06;0;0;3.57121e-06;3.54228e-06;1.54918e-06;1.74911e-06;0;0;4.6803e-06;4.69276e-06;4.16741e-06;-1.35879e-05;0;0;4.78758e-06;4.68815e-06;7.53595e-06;-2.1605e-05;0;0;-4.39908e-06;-3.84719e-06;1.49132e-05;6.64802e-05;0;0;-8.71708e-05;./sim_cue_integration_15_11_2019_224131_1171875946
0;5;0.01;0;0.5;0.01;1;0;-10;10;8;0.1;0.01;0;0.25;1;1;1;0;0.1;0;0;0;0.25;0;1;1248976044;-1;0.01;5;0.02;0.01;5;0;0.01;0.01;0;0.01;0.05;0;0.01;3;0;5;0.01;0.8;0.01;0;0.01;0;0.05;75000;0.537921;0.477665;0.533662;0.478612;0.172287;0.23171;0.0639953;0.0951339;0.431578;2.9433;-0.542075;-7.25347;-0.261058;-6.11349;4.46001;-1.44296;0.00371779;0.00221233;0.00455578;0.00539943;0.0019075;0.00565279;32719;0.00427345;0.00741437;6.5345;7.30081;1.92676;6.87894;4.26768;13.7643;0.349735;0.52;0.754341;0.818727;0.0029462;0.00198816;0.0148743;0.016361;0.00116919;0.00114457;0.000491768;0.000431053;4.35691e-06;-4.54016e-07;-9.36503e-06;0.00151844;0.00139254;0.00151276;0.0389036;0;0;-4.33075e-06;-4.63348e-06;1.94917e-06;-0.000162786;0;0;-1.2612e-06;-1.57779e-06;2.89348e-06;-0.000175126;0;0;-8.39594e-06;-8.58866e-06;-5.08196e-06;-4.6426e-05;0;0;-3.23222e-05;-3.10342e-05;-8.0265e-05;2.72006e-05;0;0;-7.99105e-05;-8.34664e-05;5.63941e-05;-0.000610236;0;0;-0.000223827;./sim_cue_integration_15_11_2019_224131_1271754642
0;5;0.01;0;0.75;0.01;1;0;-10;10;8;0.1;0.01;0;0.25;1;1;1;0;0.1;0;0;0;0.25;0;1;1267506846;-1;0.01;5;0.02;0.01;5;0;0.01;0.01;0;0.01;1;0;0.01;3;0;5;0.01;0.8;0.01;0;0.01;0;0.05;75000;0.543871;0.479991;0.539744;0.47991;0.162357;0.220808;0.0645909;0.0650138;0.458515;-6.62338;-1.48012;-7.48828;-5.20127;-3.97553;3.10292;-1.47849;0.00377729;0.00198522;0.00483386;0.00487366;0.00195534;0.00460673;32822;0.00195293;0.00841729;3.98279;3.75479;1.64232;2.41245;11.1223;2.84208;0.340754;0.535;0.750488;0.82373;0.00305536;0.00206088;0.0139491;0.0145786;0.00100839;0.00106986;0.000357983;0.000348469;0.000217235;0.000201295;2.73057e-05;0.00144205;0.00166164;0.00143585;0.0435207;0;0;-4.39158e-06;-4.83839e-06;-9.14916e-06;-0.000301989;0;0;-1.19476e-06;-1.61699e-06;-4.41873e-06;-0.000283374;0;0;-2.82869e-06;-2.70455e-06;-7.22554e-06;-1.61652e-05;0;0;4.48839e-05;3.16978e-05;6.36101e-05;-0.00312806;0;0;-3.59791e-05;-3.75714e-05;1.78019e-05;-0.000728081;0;0;-6.77547e-06;./sim_cue_integration_15_11_2019_224131_1290067449
0;5;0.01;0;1;0.01;1;0;-10;10;8;0.1;0.01;0;0.25;1;1;1;0;0;0;0;0;0.25;0;1;1269030968;-1;0.01;5;0.02;0.01;5;0;0.01;0.01;0;0.01;0.05;0;0.01;3;0;5;0.01;0.8;0.01;0;0.01;0;1;75000;0.529895;0.496426;0.571278;0.524491;0.0997944;0.0504719;0.0464742;0.0953036;0.255606;-0.399474;3.51686;-8.11626;2.58796;-6.20437;1.29868;-0.98212;0.00160804;0.000671453;0.000641315;0.000318326;0.00199694;0.00128443;31805;0.00315288;0.00754012;15.5693;9.7385;1.28819;7.10194;3.43483;11.4333;0.487543;0;-nan;0.818479;-nan;0.000888058;0.00773828;0.00128443;0.000773117;0.000773326;0.000942087;0.000774129;-1.67761e-05;-1.688e-05;-1.43361e-05;0.00133549;0.000941262;0.00133164;0.0161254;0;0;-6.71624e-06;-7.04004e-06;1.28179e-06;-6.61299e-06;0;0;-6.70806e-06;-7.03067e-06;1.30961e-06;-7.28486e-06;0;0;-8.17131e-06;-8.53025e-06;6.75894e-08;-4.81507e-06;0;0;-4.8548e-06;-4.97077e-06;-9.89855e-06;-3.06553e-05;0;0;-6.00582e-05;-6.02633e-05;5.35792e-05;-0.00026047;0;0;-4.75942e-05;./sim_cue_integration_15_11_2019_224131_1291950870
0;5;0.01;0;0.75;0.01;1;0;-10;10;8;0.1;0.01;0;0.25;1;1;0.05;0;0;0;0;0;0.25;0;1;1265884226;-1;0.01;5;0.02;0.01;5;0;0.01;0.01;0;0.01;0.05;0;0.01;3;0;5;0.01;0.8;0.01;0;0.01;0;1;75000;0.5449;0.480964;0.593577;0.513627;0.140236;0.0568915;0.061326;0.167271;0.577501;-6.20885;-3.72246;0.160748;-9.29208;-7.36124;-1.99506;-1.23857;0.00148736;0.000921058;0.000678371;0.000413727;0.00207404;0.00165405;31342;0.0068759;0.00879524;3.05114;3.86116;0.370559;0.233007;2.4661;27.7898;0.37792;0;-nan;0.837056;-nan;0.000758148;0.0113452;0.00183413;0.00148242;0.00149016;0.00130214;0.00121796;1.31058e-05;1.2904e-05;-1.68721e-07;0.000341169;0.00204937;0.000342093;0.00983529;0;0;-3.35706e-07;-2.43361e-07;3.79891e-06;-2.67435e-05;0;0;-4.50104e-07;-3.62074e-07;3.75757e-06;-1.87586e-05;0;0;-1.62674e-06;-1.67397e-06;-1.04201e-05;-3.78098e-05;0;0;7.57785e-07;1.12907e-06;-1.15741e-05;-7.59242e-06;0;0;-2.18464e-05;-2.23164e-05;-7.79959e-05;-8.24199e-05;0;0;0.000133765;./sim_cue_integration_15_11_2019_224131_1293364627
0;5;0.01;0;0.75;0.01;1;0;-10;10;8;0.1;0.01;0;0.25;1;0.75;1;0;0;0;0;0;0.25;0;1;1267902613;-1;0.01;5;0.02;0.01;5;0;0.01;0.01;0;0.01;0.05;0;0.01;3;0;5;0.01;0.8;0.01;0;0.01;0;0.05;75000;0.520106;0.505697;0.551461;0.530099;0.0680163;0.053034;0.0549428;0.0822167;0.135933;-0.412671;2.10898;-7.66864;2.09712;-5.73018;-1.16031;-0.760747;0.00083595;0.000500236;0.000533808;0.000298059;0.00170322;0.00127038;32361;0.00334043;0.0061859;21.1185;11.144;1.36262;23.373;3.68808;20.5959;0.57664;0;-nan;0.812779;-nan;0.000476662;0.00466806;0.00148021;0.000951476;0.000952592;0.000366012;0.000290362;-2.95914e-05;-2.99434e-05;4.41078e-06;0.00110019;0.000849825;0.00110236;0.00578188;0;0;-1.85486e-05;-1.84334e-05;-6.4548e-06;-4.81684e-05;0;0;-1.83125e-05;-1.82034e-05;-6.17302e-06;-4.75456e-05;0;0;-9.20217e-06;-9.04612e-06;8.12964e-08;1.17023e-05;0;0;6.43682e-06;6.35561e-06;6.08479e-06;-7.42644e-06;0;0;-5.26117e-05;-5.22854e-05;-2.04881e-06;-6.59728e-05;0;0;-2.76161e-05;./sim_cue_integration_15_11_2019_224131_1305143689
0;5;0.01;0;0.5;0.01;1;0;-10;10;8;0.1;0.01;0;0.25;1;1;0.05;0;0;0;0;0;0.25;0;1;1284854827;-1;0.01;5;0.02;0.01;5;0;0.01;0.01;0;0.01;0.05;0;0.01;3;0;5;0.01;0.8;0.01;0;0.01;0;1;75000;0.545783;0.483725;0.591175;0.51338;0.11884;0.0538647;0.0502418;0.140746;0.555174;0.198266;0.520183;0.131915;-9.33032;-7.00364;2.46054;-1.25654;0.00122533;0.000773406;0.000528325;0.000316066;0.00214459;0.00125486;31394;0.00841604;0.0074418;9.15249;5.46609;0.298199;0.238882;3.33006;16.4689;0.424666;0;-nan;0.838232;-nan;0.000641208;0.0101286;0.00132217;0.00104647;0.00104552;0.00103168;0.000968578;-1.12188e-05;-1.17744e-05;-1.21779e-05;0.00021017;0.0028976;0.000200786;0.00775951;0;0;-2.54625e-06;-2.50986e-06;-1.53438e-05;1.80181e-06;0;0;-2.4527e-06;-2.41362e-06;-1.54756e-05;6.66848e-07;0;0;-1.61026e-06;-1.64189e-06;-1.14676e-05;2.95979e-07;0;0;-4.43673e-06;-3.97937e-06;-1.21374e-05;-1.56445e-05;0;0;-2.73124e-05;-2.59528e-05;-2.71554e-05;-4.15916e-05;0;0;2.92875e-05;./sim_cue_integration_15_11_2019_224131_1312913388
