p;init_asoc_vert;init_g;sdmat;sdmu_g;mu_vc;ncv;init_bmat_phen;qmat;survival_scalar0;sdsoc_horiz;init_agen;mu_hp;mu_asoc_vert;mu_amat;init_hp;mu_g;mu_bmat_envt;sdmu_a;nph;init_hc;mu_agen;nloci_g;init_vc;mu_ajuv;qjuv;bmax;init_asoc_horiz;gmax;mu_asoc_horiz;npv;amax;init_ajuv;m;laplace;sdmu_b;seed;juvenile_survival;sigmoidal_survival;init_bmat_envt;init_amat;sdsoc_vert;amin;survival_scalar1;bmin;gmin;mu_hc;mu_vp;mu_bmat_phen;init_vp;nch;generation;mean_phen_ad;mean_phen_juv;mean_phen_prestige_vert;mean_phen_prestige_horiz;mean_agen;mean_ajuv;mean_amat;mean_asoc_vert;mean_asoc_horiz;mean_bmat_phen;mean_bmat_envt;mean_hc;mean_hp;mean_vc;mean_vp;mean_g;var_phen_ad;var_phen_juv;var_phen_prestige_vert;var_phen_prestige_horiz;var_agen;var_ajuv;var_amat;var_asoc_vert;var_asoc_horiz;var_bmat_phen;var_bmat_envt;var_hc;var_hp;var_vc;var_vp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;var_component_gen;var_component_ajuv;var_component_amat;var_component_amat_envt;var_component_amat_phen;cov_amat_phen_amat_envt;cov_amat_ajuv;cov_amat_envt_ajuv;cov_amat_phen_ajuv;var_component_asoc_vert;var_component_asoc_vert_p;var_component_asoc_vert_c;var_component_asoc_horiz;var_component_asoc_horiz_p;var_component_asoc_horiz_c;cov_amat_asoc_vert;cov_amat_asoc_vert_c;cov_amat_asoc_vert_p;cov_amat_asoc_horiz;cov_amat_asoc_horiz_c;cov_amat_asoc_horiz_p;cov_amat_envt_asoc_vert;cov_amat_envt_asoc_vert_c;cov_amat_envt_asoc_vert_p;cov_amat_envt_asoc_horiz;cov_amat_envt_asoc_horiz_c;cov_amat_envt_asoc_horiz_p;cov_amat_phen_asoc_vert;cov_amat_phen_asoc_vert_c;cov_amat_phen_asoc_vert_p;cov_amat_phen_asoc_horiz;cov_amat_phen_asoc_horiz_c;cov_amat_phen_asoc_horiz_p;cov_ajuv_asoc_vert;cov_ajuv_asoc_vert_c;cov_ajuv_asoc_vert_p;cov_ajuv_asoc_horiz;cov_ajuv_asoc_horiz_c;cov_ajuv_asoc_horiz_p;cov_agen_asoc_vert;cov_agen_asoc_vert_c;cov_agen_asoc_vert_p;cov_agen_asoc_horiz;cov_agen_asoc_horiz_c;cov_agen_asoc_horiz_p;cov_asoc_horiz_vert;cov_asoc_horiz_vert_c;cov_asoc_horiz_vert_p;cov_asoc_horiz_c_vert;cov_asoc_horiz_p_vert;cov_agen_ajuv;file
0.31;0;0;0.05;0.25;0.01;5;0;1;0.8;0.05;0;0.01;0.01;0.01;0;0.01;0.01;0.02;5;0;0.01;3;0;0.01;1;10;0;1;0.01;5;8;0;0.1;1;0.25;145483409;0;0;0;0;0.05;0;0;-10;-1;0.01;0.01;0.01;0;5;75000;0.513245;0.43909;0.513342;0.43724;0.319367;0.0356684;0.25528;0.310315;0.65512;-3.66334;6.17963;0.907163;-9.00972;-0.15153;-8.45538;-1.7073;0.00594672;0.00415993;0.0117417;0.00441612;0.00318968;0.000765264;39999.9;0.00860575;0.0121376;14.3341;3.85144;0.388553;0.45476;0.758333;0.798169;0.2751;0.475;0.79864;0.816878;0.00369302;0.00338963;0.0381593;0.000715058;0.0184016;0.0183724;0.00271506;0.00310524;-0.000843787;-0.000842445;-4.80942e-05;0.00897653;0.00650555;0.00615093;0.0224722;0.013447;0.0152372;0.00459481;0.000697964;0.00455016;0.00217813;0.00288955;-0.000539608;0.00458395;0.00069699;0.00454081;0.0021797;0.00289066;-0.000539508;0.000400195;4.42877e-05;0.000370017;-2.29681e-05;2.91652e-05;-0.000103636;-0.000803845;-3.64843e-05;-0.000858048;-0.00124709;-0.000237547;-0.00105402;-0.000610424;-7.64473e-05;-0.000595326;-0.000254157;0.000852067;-0.00104858;0.0026507;5.12467e-05;0.0028604;0.000853106;0.00188945;6.79753e-05;./sim_cue_integration_8_12_2019_153935_105073179
0.31;0;0;0.05;0.25;0.01;5;0;1;0.8;0.05;0;0.01;0.01;0.01;0;0.01;0.01;0.02;5;0;0.01;3;0;0.01;1;10;0;1;0.01;5;8;0;0.1;1;0.25;139459745;1;0;0;0;0.05;0;0;-10;-1;0.01;0.01;0.01;0;5;75000;0.617635;0.349694;0.598213;0.357842;0.747354;2.04078;0.100023;0.202311;2.24923;-7.72608;-1.37994;-7.29674;-7.34473;-7.8502;2.33661;-2.29214;0.0086461;0.049023;0.0242407;0.0719396;0.00161901;0.00476933;36301;0.0119483;0.00959576;2.13888;3.40473;1.70568;2.87479;2.03816;8.23951;0.100207;0.535;0.693228;0.880075;0.00776704;0.00342859;0.063868;1.02281;0.00192614;0.00236946;0.000568814;0.000471628;0.00509932;0.00712093;-0.00161705;0.000217988;0.00480531;0.000214321;1.14913;0.617761;1.14604;-2.57207e-06;-3.22962e-06;0.000122797;-0.00541482;-0.00540798;-0.00390921;-4.29066e-06;-5.14506e-06;0.000159125;-0.00753238;-0.00752229;-0.00545781;4.11614e-06;4.30808e-06;-2.93399e-05;0.00166085;0.00165803;0.00116274;-0.000139846;-0.000234903;0.0121757;-1.06907;-1.06747;-0.768972;-4.72621e-05;-4.76183e-05;0.000120385;-0.0146507;-0.0146249;-0.0116674;0.000173437;0.000274826;-0.0128153;0.000173775;0.000148427;0.013389;./sim_cue_integration_8_12_2019_153935_105078447
1;0;0;0.05;0.25;0.01;5;0;1;0.8;0.05;0;0.01;0.01;0.01;0;0.01;0.01;0.02;5;0;0.01;3;0;0.01;1;10;0;1;0.01;5;8;0;0.1;1;0.25;137894186;0;0;0;0;0.05;0;0;-10;-1;0.01;0.01;0.01;0;5;75000;0.48318;0.216262;0.482205;0.283041;1.50056;1.466;0.545325;0.534497;5.35064;1.0033;6.56572;-1.04762;9.05692;4.77581;5.3642;-2.01998;0.189167;0.0415306;0.229473;0.0818312;0.00876637;0.0213483;39999.7;0.0206859;0.0237178;11.4923;3.13202;0.221297;0.361078;4.2487;4.60075;0.161721;0.47;0.985525;0.984321;0.00252512;0.00343971;0.403181;0.548395;0.0756301;0.0761461;0.0298057;0.0160074;0.169359;0.170466;0.0256395;0.0740816;0.0559002;0.0681954;4.19624;3.2269;0.613419;0.0648397;0.0610447;0.0537174;0.436906;-0.0260097;0.371195;0.0652532;0.0614385;0.0540513;0.439791;-0.0260964;0.373586;0.00984301;0.00924067;0.00823417;0.0661433;-0.00505404;0.0571522;0.167643;0.157834;0.138864;1.38878;-0.0854811;1.17982;0.0160408;0.0149293;0.0136024;0.126137;-0.0145125;0.122109;0.431936;0.406664;0.358199;-0.0261417;0.367283;0.0443246;./sim_cue_integration_8_12_2019_153935_103304874
0.655;0;0;0.05;0.25;0.01;5;0;1;0.8;0.05;0;0.01;0.01;0.01;0;0.01;0.01;0.02;5;0;0.01;3;0;0.01;1;10;0;1;0.01;5;8;0;0.1;1;0.25;141828513;0;0;0;0;0.05;0;0;-10;-1;0.01;0.01;0.01;0;5;75000;0.511827;0.475977;0.514428;0.479883;0.269445;0.472245;0.0705782;0.0630875;0.344816;-3.83107;0.815765;6.89153;-0.922519;-2.2193;3.92646;-1.5039;0.0111563;0.0059468;0.0168021;0.0137799;0.00359322;0.00931416;40000;0.00208499;0.00580011;10.9587;8.66604;3.62682;2.86881;4.12704;4.70477;0.326521;0.5325;0.801779;0.820607;0.00712513;0.00632166;0.0330285;0.0611177;0.00144314;0.00146237;0.000612681;0.000450545;0.000128815;0.000323116;-0.000509206;0.00132141;0.000672643;0.00136999;0.0288575;0.00215325;0.0289094;-3.15329e-05;-3.65593e-05;9.44745e-06;6.55996e-05;6.55383e-05;-1.75427e-05;-6.6537e-05;-7.9243e-05;2.62275e-05;0.000182401;0.000182497;-1.87809e-05;8.97488e-05;0.000111013;-4.58785e-05;-0.00030422;-0.000304521;-3.17533e-06;-0.000712476;-0.00126868;0.00113524;0.0326091;0.0326601;-0.00203007;-9.74696e-05;-0.000154994;0.000125327;0.001689;0.00169129;-9.3151e-05;-0.000402207;-0.000732439;0.00067844;-0.000402921;-8.36857e-06;0.00178763;./sim_cue_integration_8_12_2019_153935_102342993
0.655;0;0;0.05;0.25;0.01;5;0;1;0.8;0.05;0;0.01;0.01;0.01;0;0.01;0.01;0.02;5;0;0.01;3;0;0.01;1;10;0;1;0.01;5;8;0;0.1;1;0.25;139927397;1;0;0;0;0.05;0;0;-10;-1;0.01;0.01;0.01;0;5;75000;0.557961;0.434426;0.564236;0.444836;0.866337;2.887;0.11783;0.0864666;1.39343;-7.7259;1.59988;-7.66018;-7.19534;-3.7571;-5.09046;-2.25816;0.0399624;0.0915488;0.0548157;0.121518;0.00231596;0.00808898;37501;0.00230067;0.00662539;1.90587;2.7599;1.63298;3.86739;4.80939;7.21731;0.105907;0.49;0.759518;0.851855;0.0303964;0.0195104;0.0914804;2.08831;0.00249295;0.00360685;0.00234644;-0.000199614;0.00219717;0.0144981;-0.0153002;0.00241278;0.00113038;0.00227161;0.45214;0.327675;0.450801;-0.000251545;-0.00023621;-0.000102435;-0.00104135;-0.00103769;-0.000801101;-0.00113121;-0.00106251;-0.000498773;-0.00661789;-0.00660412;-0.00543678;0.00106506;0.00100217;0.000472171;0.00696754;0.00695865;0.00576464;-0.0184217;-0.0145095;-0.0176325;-0.96474;-0.963054;-0.804509;-0.000964753;-0.000852793;-0.000641974;-0.0171439;-0.0170707;-0.0150491;0.00847914;0.00667799;0.00814216;0.00847076;0.00699243;0.0370505;./sim_cue_integration_8_12_2019_153935_100776617
0.655;0;0;0.05;0.25;0.01;5;0;1;0.8;0.05;0;0.01;0.01;0.01;0;0.01;0.01;0.02;5;0;0.01;3;0;0.01;1;10;0;1;0.01;5;8;0;0.1;1;0.25;61241738;1;0;0;0;0.05;0;0;-10;-1;0.01;0.01;0.01;0;5;75000;0.551484;0.416312;0.553654;0.42422;0.831122;2.83472;0.0772596;0.0691891;1.41322;-2.59241;-0.737089;-6.21249;-7.91593;0.125463;1.4695;-2.28683;0.0381415;0.0902956;0.0530931;0.11961;0.0018244;0.00826202;37645;0.00260171;0.00844794;8.87088;15.9306;2.21863;1.50147;14.6129;6.33504;0.110278;0.47;0.743526;0.844195;0.0304963;0.0192776;0.0854289;2.0048;0.00185793;0.00187642;0.000760895;0.000602496;-0.00208347;-0.00105864;-0.00254386;0.00193628;0.000874584;0.00193859;0.463691;0.369469;0.456736;8.55832e-06;1.74171e-05;-2.8994e-05;0.000983209;0.000978248;0.000883237;1.1419e-05;1.727e-05;-1.74033e-05;0.000501407;0.00050125;0.000451553;1.74218e-06;1.0645e-05;-3.59773e-05;0.00120579;0.00119442;0.00107959;0.00220976;0.000540823;0.00483855;-0.956487;-0.94815;-0.847811;-7.93617e-05;-0.000161338;0.000208272;-0.0182638;-0.0181331;-0.0168499;-0.00105172;-0.00025331;-0.00231074;-0.00104709;-0.000926354;0.0379438;./sim_cue_integration_8_12_2019_153935_36036670
0.31;0;0;0.05;0.25;0.01;5;0;1;0.8;0.05;0;0.01;0.01;0.01;0;0.01;0.01;0.02;5;0;0.01;3;0;0.01;1;10;0;1;0.01;5;8;0;0.1;1;0.25;61526236;0;0;0;0;0.05;0;0;-10;-1;0.01;0.01;0.01;0;5;75000;0.511831;0.486956;0.516642;0.486269;0.173554;0.0337539;0.224667;0.0957504;0.207338;0.970882;6.66866;0.611799;-8.54991;-2.25896;-8.28616;-1.24676;0.00286;0.00238299;0.00500881;0.00295553;0.00386409;0.000587166;39999.9;0.00331842;0.00801065;9.39248;3.06476;1.04522;0.696176;6.28793;1.03997;0.401604;0.5175;0.790155;0.811262;0.00189039;0.00177327;0.0196952;0.000579837;0.0163508;0.0163549;0.00322454;0.00263079;-0.000748594;-0.000748823;1.05114e-05;0.00243017;0.000970765;0.00241743;0.00502593;0.00299396;0.00465121;0.000743205;0.000490478;0.000582952;0.00155803;0.00171443;-3.85559e-05;0.00074391;0.000491023;0.000582995;0.00155818;0.00171461;-3.92657e-05;-4.13167e-05;-3.1572e-05;-1.02174e-05;-3.05908e-05;-4.24137e-06;-2.39378e-05;-0.000111409;-4.84992e-05;-0.000149525;-0.00033683;-0.000115296;-0.000282611;-0.000140191;-0.000114651;-3.97604e-05;6.45413e-05;0.000181811;-0.000116104;0.00016054;8.38318e-05;0.000165465;0.000120627;3.75502e-05;5.48219e-05;./sim_cue_integration_8_12_2019_153935_36109319
0.655;0;0;0.05;0.25;0.01;5;0;1;0.8;0.05;0;0.01;0.01;0.01;0;0.01;0.01;0.02;5;0;0.01;3;0;0.01;1;10;0;1;0.01;5;8;0;0.1;1;0.25;61137115;0;0;0;0;0.05;0;0;-10;-1;0.01;0.01;0.01;0;5;75000;0.511473;0.479231;0.512636;0.481992;0.266783;0.435543;0.0939977;0.0816613;0.304753;-6.12421;5.19674;5.38277;5.06821;-3.28225;-5.11026;-1.47335;0.0101754;0.00577757;0.0161499;0.0134169;0.00368036;0.00841122;40000;0.00329562;0.0104565;5.20074;4.73459;4.09379;4.35809;4.29068;9.44932;0.350137;0.52;0.806859;0.821354;0.00622155;0.00557372;0.034538;0.0519912;0.00326704;0.00338168;0.00111734;0.000177146;0.00282537;0.00295152;-0.000952338;0.00266338;0.00107919;0.00255716;0.0246328;0.00501982;0.0241908;-0.00128801;-0.00120308;-0.000383674;0.00168285;0.00164949;0.000545802;-0.00133511;-0.00124684;-0.000396307;0.00175893;0.00172459;0.000573807;0.000352485;0.000328119;9.88567e-05;-0.000616642;-0.000605449;-0.000213685;-0.00245255;-0.00204996;-0.00175808;0.0263143;0.0257857;0.00891219;-0.000522126;-0.000476;-0.000252793;0.00208226;0.00205403;0.000718539;-0.00142237;-0.00119009;-0.000991271;-0.00139284;-0.000446005;0.00252048;./sim_cue_integration_8_12_2019_153935_35865356
1;0;0;0.05;0.25;0.01;5;0;1;0.8;0.05;0;0.01;0.01;0.01;0;0.01;0.01;0.02;5;0;0.01;3;0;0.01;1;10;0;1;0.01;5;8;0;0.1;1;0.25;61481613;1;0;0;0;0.05;0;0;-10;-1;0.01;0.01;0.01;0;5;75000;0.496056;0.485119;0.488178;0.485247;2.26087;3.13331;2.72619;1.63162;2.0147;1.75059;7.60135;6.43372;5.12958;6.67404;4.19983;-1.64581;0.23687;0.228543;0.24697;0.245424;0.0239188;0.0729749;38433.6;0.027839;0.074043;7.08582;1.7248;2.64507;4.53204;3.90758;5.4267;0.374391;0.485;0.989915;0.992504;0.00670928;0.0047769;2.03807;2.53064;1.73563;1.73547;0.604908;0.569096;2.01859;2.01852;0.64751;0.629472;0.384643;0.618325;0.993938;0.718938;0.982623;1.02683;1.01598;0.730216;1.24966;1.24168;1.01802;1.02678;1.01593;0.730171;1.24959;1.24161;1.01798;0.329984;0.326503;0.236622;0.401848;0.399125;0.327448;1.20803;1.19552;0.859322;1.54369;1.53383;1.25703;0.598747;0.592911;0.423034;0.733139;0.728131;0.59464;0.746923;0.739118;0.5313;0.742118;0.60815;1.18599;./sim_cue_integration_8_12_2019_153935_34802522
0.31;0;0;0.05;0.25;0.01;5;0;1;0.8;0.05;0;0.01;0.01;0.01;0;0.01;0.01;0.02;5;0;0.01;3;0;0.01;1;10;0;1;0.01;5;8;0;0.1;1;0.25;61311622;1;0;0;0;0.05;0;0;-10;-1;0.01;0.01;0.01;0;5;75000;0.615743;0.37057;0.60631;0.382428;0.757435;2.08665;0.0845525;0.156271;2.24331;-7.28777;-0.918535;-8.02324;-4.4006;-5.8042;2.64152;-2.2839;0.00864548;0.0516216;0.0234178;0.075553;0.00194151;0.00540983;36247;0.00795823;0.00868342;2.71392;4.02282;1.08306;8.11775;3.54821;10.1299;0.100138;0.45;0.69331;0.876808;0.0076953;0.00371931;0.06681;1.08933;0.00139591;0.00175428;0.000471152;0.000453804;0.00266867;0.00418936;-0.00115571;0.000297911;0.00328296;0.000222563;1.16137;0.38575;1.16053;1.07721e-06;-2.04533e-06;4.12096e-05;-0.00276923;-0.00276804;-0.00122158;9.45064e-07;-4.30041e-06;5.90016e-05;-0.00431396;-0.00431212;-0.0019808;-1.29274e-06;7.89696e-07;-2.50004e-05;0.0011525;0.00115173;0.00068415;0.000646807;-0.000295947;0.00930409;-1.11149;-1.11106;-0.539729;-1.80157e-05;-2.93708e-05;9.43854e-05;-0.0148153;-0.014806;-0.00929824;-0.000666675;0.000302368;-0.00949791;-0.000666348;-0.000316885;0.0140736;./sim_cue_integration_8_12_2019_153935_34511003
