init_ajuv;sdmu_b;init_vp;init_bmat_phen;init_vc;nph;init_bmat_envt;laplace;init_asoc_horiz;init_g;init_agen;amax;survival_scalar0;mu_g;mu_hp;survival_scalar1;init_amat;sdsoc_horiz;mu_ajuv;qmat;gmin;npv;mu_hc;sdsoc_vert;mu_asoc_vert;sdmat;bmax;init_asoc_vert;m;sdmu_g;nloci_g;ncv;amin;mu_asoc_horiz;mu_vp;nch;juvenile_survival;qjuv;init_hc;mu_agen;seed;gmax;mu_bmat_phen;p;sdmu_a;sigmoidal_survival;init_hp;mu_amat;mu_bmat_envt;bmin;mu_vc;generation;mean_phen_ad;mean_phen_juv;mean_phen_prestige_vert;mean_phen_prestige_horiz;mean_agen;mean_ajuv;mean_amat;mean_asoc_vert;mean_asoc_horiz;mean_bmat_phen;mean_bmat_envt;mean_hc;mean_hp;mean_vc;mean_vp;mean_g;var_phen_ad;var_phen_juv;var_phen_prestige_vert;var_phen_prestige_horiz;var_agen;var_ajuv;var_amat;var_asoc_vert;var_asoc_horiz;var_bmat_phen;var_bmat_envt;var_hc;var_hp;var_vc;var_vp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;var_component_gen;var_component_ajuv;var_component_amat;var_component_amat_envt;var_component_amat_phen;cov_amat_phen_amat_envt;cov_amat_ajuv;cov_amat_envt_ajuv;cov_amat_phen_ajuv;var_component_asoc_vert;var_component_asoc_vert_p;var_component_asoc_vert_c;var_component_asoc_horiz;var_component_asoc_horiz_p;var_component_asoc_horiz_c;cov_amat_asoc_vert;cov_amat_asoc_vert_c;cov_amat_asoc_vert_p;cov_amat_asoc_horiz;cov_amat_asoc_horiz_c;cov_amat_asoc_horiz_p;cov_amat_envt_asoc_vert;cov_amat_envt_asoc_vert_c;cov_amat_envt_asoc_vert_p;cov_amat_envt_asoc_horiz;cov_amat_envt_asoc_horiz_c;cov_amat_envt_asoc_horiz_p;cov_amat_phen_asoc_vert;cov_amat_phen_asoc_vert_c;cov_amat_phen_asoc_vert_p;cov_amat_phen_asoc_horiz;cov_amat_phen_asoc_horiz_c;cov_amat_phen_asoc_horiz_p;cov_ajuv_asoc_vert;cov_ajuv_asoc_vert_c;cov_ajuv_asoc_vert_p;cov_ajuv_asoc_horiz;cov_ajuv_asoc_horiz_c;cov_ajuv_asoc_horiz_p;cov_agen_asoc_vert;cov_agen_asoc_vert_c;cov_agen_asoc_vert_p;cov_agen_asoc_horiz;cov_agen_asoc_horiz_c;cov_agen_asoc_horiz_p;cov_asoc_horiz_vert;cov_asoc_horiz_vert_c;cov_asoc_horiz_vert_p;cov_asoc_horiz_c_vert;cov_asoc_horiz_p_vert;cov_agen_ajuv;file
0;0.25;0;0;0;5;0;1;0;0;0;8;0.8;0.01;0.01;0;0;0.05;0.01;0.5;-1;5;0.01;0.05;0.01;0.05;10;0;0.1;0.25;3;5;-8;0.01;0.01;5;0;0.5;0;0.01;1348173503;1;0.01;0;0.02;0;0;0.01;0.01;-10;0.01;75000;0.488121;0.697067;0.480426;0.716499;-0.0239499;0.128;-0.416308;3.01397;-4.36329;7.36905;0.403779;-7.84035;-1.6719;-8.11873;-5.11596;-0.132569;0.203226;0.0671528;0.226726;0.0510993;0.0298017;0.0152619;39999.8;0.0223613;0.0196532;2.21082;1.92197;1.28204;15.2088;1.37422;3.58446;0.665787;0.505;0.985178;0.983973;0.00348041;0.0038331;0.020939;0.0119539;0.0417935;0.0195676;0.0448625;0.00662903;0.000288482;-2.49726e-05;0.000299739;2.11343;1.48675;2.11092;4.36631;0.948342;4.37572;0.241509;0.24136;0.196697;0.296234;0.296616;0.0177202;0.00564284;0.00564071;0.0042025;0.00729486;0.00731382;3.67217e-05;0.262274;0.262113;0.213511;0.321581;0.321991;0.0194358;0.00373668;0.00373551;0.00315854;0.00618979;0.00619842;0.00159136;-0.000856821;-0.000854572;-0.00077732;0.00129554;0.00129525;-0.000697725;2.54918;2.54762;2.07726;2.55216;0.154479;-0.000149891;./sim_cue_integration_11_12_2019_092359_1326550195
0;0.25;0;0;0;5;0;1;0;0;0;8;0.8;0.01;0.01;0;0;0.05;0.01;1;-1;5;0.01;0.05;0.01;0.05;10;0;0.1;0.25;3;5;-8;0.01;0.01;5;0;1;0;0.01;1327062003;1;0.01;0.034;0.02;0;0;0.01;0.01;-10;0.01;75000;0.518535;0.319386;0.519663;0.308815;-0.0725665;-2.27113;-0.0115123;0.185115;3.29335;3.60001;2.48286;8.35284;0.379239;-1.79305;-2.99045;0.0240139;0.166086;0.0487151;0.194786;0.0370448;0.0155817;0.0223401;40000;0.0156732;0.0187247;9.69601;5.32932;1.09731;7.20772;6.79183;13.8286;0.694844;0.49;0.959601;0.955657;0.0156938;0.0146944;0.0144543;1.29713;0.00656644;0.00683371;0.00605111;0.00302504;-0.00102513;-0.00302359;0.00267629;0.0120118;0.00958459;0.010736;2.48018;0.279552;2.48083;-8.98278e-05;-5.93996e-05;-6.18102e-05;-0.000131919;-0.000132261;8.31958e-05;-0.000211055;-0.000128346;-0.000136309;-0.00230348;-0.00230399;-4.65109e-05;0.000158505;8.45364e-05;0.000119485;0.00353137;0.00353011;0.000422571;0.0519336;0.0343731;0.0379468;1.55703;1.55727;0.0279963;0.000239909;0.000137302;0.000189386;0.00518516;0.005184;5.7718e-05;0.0652297;0.0434564;0.0477286;0.0652411;0.00106382;0.00322548;./sim_cue_integration_11_12_2019_092359_1304760480
0;0.25;0;0;0;5;0;1;0;0;0;8;0.8;0.01;0.01;0;0;0.05;0.01;0.5;-1;5;0.01;0.05;0.01;0.05;10;0;0.1;0.25;3;5;-8;0.01;0.01;5;0;0.5;0;0.01;1205790690;1;0.01;0.207;0.02;0;0;0.01;0.01;-10;0.01;75000;0.500675;0.660689;0.511331;0.670122;-0.0186688;-0.0722078;-0.429611;2.08582;-1.15445;6.77129;0.0469339;-0.915564;8.37617;0.70271;-9.17503;0.0205903;0.0360882;0.0253152;0.0595826;0.0146897;0.0104313;0.00613903;39999.8;0.0106527;0.0103829;3.42055;1.12424;0.420015;0.866496;0.240501;0.316044;0.686985;0.5025;0.831098;0.844352;0.0184126;0.0160367;0.00739346;0.00435795;0.0190735;0.0117019;0.0163054;0.00233653;-0.000147885;-3.59156e-05;-0.000166374;0.482453;0.645057;0.174519;0.0836032;0.0468675;0.0600561;0.0394551;-0.0240781;0.053054;-0.00264461;0.00581507;-0.005285;-0.00130354;0.000391439;-0.00130197;8.40719e-05;0.000239031;3.74003e-05;0.0466727;-0.028082;0.0623541;-0.00303785;0.0066529;-0.00619;-0.000650729;0.000227222;-0.000735198;8.95928e-05;-5.66705e-05;0.000141549;-0.000313441;6.75915e-06;-0.000316926;-8.54931e-05;8.04074e-05;-9.44458e-05;0.0145872;0.00785405;0.00791883;0.0547923;-0.0190634;-3.15041e-05;./sim_cue_integration_11_12_2019_092359_1181978094
0;0.25;0;0;0;5;0;1;0;0;0;8;0.8;0.01;0.01;0;0;0.05;0.01;1;-1;5;0.01;0.05;0.01;0.05;10;0;0.1;0.25;3;5;-8;0.01;0.01;5;0;1;0;0.01;1119272556;1;0.01;0.241;0.02;0;0;0.01;0.01;-10;0.01;75000;0.505752;0.425203;0.4888;0.42732;0.0123421;-0.843483;0.0444899;0.114434;0.744208;-2.26833;-2.5014;6.70843;-0.875038;-0.333472;2.3724;0.129877;0.0309536;0.0108617;0.0387435;0.00613785;0.00744639;0.0112301;40000;0.00882506;0.00864129;10.2015;6.00986;2.40173;21.0219;7.78599;8.37389;0.656259;0.51;0.844374;0.835941;0.0147161;0.0147751;0.0050361;0.181944;0.00446659;0.00452636;0.00304317;0.00237925;-0.00166384;-0.00193662;0.000938963;0.00493857;0.00283305;0.00505093;0.129734;0.010749;0.129961;-5.50089e-05;-0.000116279;7.54282e-05;-0.000966254;-0.000969502;-3.02038e-05;-5.69588e-05;-0.000128082;9.73164e-05;-0.00115796;-0.00116181;-2.67315e-05;-1.71765e-05;1.13842e-05;-8.29022e-05;0.000943815;0.000944698;-3.3083e-05;0.000113337;0.00204797;-0.00325932;0.129318;0.129486;-0.00129033;-1.4424e-05;-1.62953e-05;-2.04835e-05;-2.45492e-05;-2.57171e-05;-6.69954e-06;0.000261004;0.0016928;-0.00224597;0.000263277;-1.25189e-05;-0.000163515;./sim_cue_integration_11_12_2019_092359_1095994403
0;0.25;0;0;0;5;0;1;0;0;0;8;0.8;0.01;0.01;0;0;0.05;0.01;1;-1;5;0.01;0.05;0.01;0.05;10;0;0.1;0.25;3;5;-8;0.01;0.01;5;0;0.5;0;0.01;1095937891;1;0.01;0.655;0.02;0;0;0.01;0.01;-10;0.01;75000;0.494486;0.581503;0.492358;0.582527;-0.00715644;0.0687813;0.13788;0.46251;-1.03559;-0.898692;4.22542;-0.0243308;-8.83912;-0.459135;7.69549;-0.0722353;0.00502919;0.00180449;0.00907134;0.00399888;0.00504796;0.00908214;40000;0.0103197;0.0189215;8.65691;3.716;0.323543;0.435231;0.565554;1.87149;0.670061;0.485;0.810622;0.805341;0.00302912;0.00295309;0.00344543;0.00548851;0.00775587;0.00779926;0.00218197;0.00208457;0.000744063;0.000751102;5.6447e-05;0.0124679;0.00974656;0.0112858;0.0343531;0.0201176;0.0264921;0.00094174;-0.00226395;0.00346769;0.00394248;0.000532633;0.00367429;0.000954388;-0.00227129;0.00349148;0.00397961;0.000553202;0.00369855;4.45782e-05;-8.88269e-05;0.000148869;0.000136849;-0.000114383;0.00021281;0.0014336;-0.000377471;0.00198957;0.00377457;0.00017818;0.00382088;1.17867e-06;-4.83147e-05;5.3835e-05;0.000110426;5.35705e-05;8.19329e-05;0.00489632;-0.00212135;0.00768415;0.000504247;0.00465575;2.26422e-05;./sim_cue_integration_11_12_2019_092359_1069710480
0;0.25;0;0;0;5;0;1;0;0;0;8;0.8;0.01;0.01;0;0;0.05;0.01;0.5;-1;5;0.01;0.05;0.01;0.05;10;0;0.1;0.25;3;5;-8;0.01;0.01;5;0;0.5;0;0.01;1075962969;1;0.01;0.138;0.02;0;0;0.01;0.01;-10;0.01;75000;0.470907;0.334868;0.532503;0.334012;0.0309039;0.113659;0.472479;-2.00675;1.48284;-6.74948;0.0253655;2.32381;-6.799;-1.14345;9.31582;-0.0260044;0.0568654;0.0289688;0.0932261;0.0170734;0.0103123;0.0108975;39999.8;0.0153061;0.0150387;2.30375;1.88186;0.429566;1.59829;0.245963;0.225489;0.654861;0.475;0.876042;0.871689;0.0191092;0.0198469;0.00743969;0.00907091;0.0285258;0.0185931;0.0258754;0.00303694;-3.02085e-05;-0.000105847;0.000136279;0.506952;0.727765;0.294892;0.240505;0.0742079;0.274615;0.0607048;-0.0494747;0.0812458;0.0185346;0.0304876;-0.00906767;-0.00164504;0.000416992;-0.00171878;0.000507701;0.000902633;-0.000573804;0.0738304;-0.0594791;0.0985017;0.0219646;0.035821;-0.0102506;0.00118834;-0.000517442;0.000922691;0.00112447;0.00181028;-0.000750352;0.000167613;-0.000211609;0.000326006;-3.45115e-05;-2.09326e-05;6.65543e-05;0.140296;-0.0813777;0.168731;0.196744;-0.0342982;7.40341e-05;./sim_cue_integration_11_12_2019_092359_1048672799
0;0.25;0;0;0;5;0;1;0;0;0;8;0.8;0.01;0.01;0;0;0.05;0.01;1;-1;5;0.01;0.05;0.01;0.05;10;0;0.1;0.25;3;5;-8;0.01;0.01;5;0;1;0;0.01;1070456849;1;0.01;0.483;0.02;0;0;0.01;0.01;-10;0.01;75000;0.502657;0.494478;0.504365;0.500294;0.00869526;-0.0593056;-0.000914832;0.0150946;0.0716922;-0.688496;-0.650799;1.26913;-2.95834;-0.299843;1.55647;-0.0575862;0.00114722;0.00088917;0.00205538;0.00113053;0.00550692;0.00801725;40000;0.00880086;0.0106386;15.447;6.3969;3.06009;11.9344;4.47973;11.0675;0.648843;0.525;0.796869;0.801149;0.000733094;0.000712121;0.00364985;0.00500635;0.00266154;0.00266094;0.00183541;0.00183903;-5.23347e-06;-6.04054e-06;-4.83199e-06;0.0031096;0.00225285;0.00309928;0.00381044;0.00272255;0.00379999;1.52433e-05;1.36849e-05;2.1623e-05;1.76644e-05;1.90054e-05;1.45009e-05;1.50047e-05;1.34572e-05;2.1046e-05;1.83302e-05;1.96774e-05;1.47213e-05;1.48091e-05;1.449e-05;1.74643e-05;1.5275e-05;1.65626e-05;1.42191e-05;-1.28014e-05;-9.12619e-06;-1.27588e-05;0.000149301;0.00012603;3.95524e-05;2.79042e-06;3.79451e-06;1.00275e-05;1.9003e-05;1.88173e-05;1.72241e-05;1.32496e-05;1.38417e-05;1.46328e-05;1.38821e-05;-2.0671e-05;1.29512e-05;./sim_cue_integration_11_12_2019_092359_1048293554
0;0.25;0;0;0;5;0;1;0;0;0;8;0.8;0.01;0.01;0;0;0.05;0.01;1;-1;5;0.01;0.05;0.01;0.05;10;0;0.1;0.25;3;5;-8;0.01;0.01;5;0;1;0;0.01;1066268535;1;0.01;0.414;0.02;0;0;0.01;0.01;-10;0.01;75000;0.493148;0.472819;0.50798;0.479955;0.00688608;-0.282719;0.0349928;0.067169;0.232409;-3.22505;-2.72523;4.50516;-6.55156;-2.68218;-2.5805;-0.0975129;0.00410488;0.00213016;0.00581794;0.00090638;0.00621692;0.00626832;40000;0.00617953;0.00893453;4.95944;8.82952;3.14452;4.63701;10.6619;5.73029;0.662587;0.4925;0.800285;0.802311;0.00275204;0.00263464;0.00420227;0.0232213;0.00459554;0.00463435;0.00285949;0.00266989;-0.000186895;-0.000193928;-6.78362e-05;0.00334834;0.00158732;0.00334059;0.0127033;0.00286755;0.0126372;-0.000171207;-0.000165;-2.22435e-05;-5.02499e-05;-4.9742e-05;1.04726e-05;-0.00017986;-0.000173218;-2.10738e-05;-5.33907e-05;-5.30725e-05;1.33386e-05;1.57161e-05;1.5364e-05;5.59895e-06;1.53477e-05;1.66763e-05;-1.94355e-05;0.000152257;7.36608e-05;0.000148132;0.0107954;0.0107681;0.000348954;2.4409e-05;2.42605e-05;1.51391e-05;-3.10805e-05;-2.87422e-05;-4.521e-05;0.00018749;0.000142025;0.000133608;0.000190202;-3.20079e-06;-0.000101783;./sim_cue_integration_11_12_2019_092359_1043267743
0;0.25;0;0;0;5;0;1;0;0;0;8;0.8;0.01;0.01;0;0;0.05;0.01;0.5;-1;5;0.01;0.05;0.01;0.05;10;0;0.1;0.25;3;5;-8;0.01;0.01;5;0;1;0;0.01;1033260633;1;0.01;0.724;0.02;0;0;0.01;0.01;-10;0.01;75000;0.509371;0.571197;0.49722;0.575451;0.027013;0.696045;-0.0857154;-0.0509309;-0.639326;5.85427;0.0167508;-6.31085;-1.33588;-0.166025;5.51399;0.0899402;0.0219505;0.00776626;0.0288973;0.013657;0.00615249;0.00889951;40000;0.00780344;0.00924562;3.19336;6.33849;3.41617;8.75761;6.17492;6.9729;0.656195;0.5175;0.836024;0.826278;0.0108744;0.0123444;0.0046501;0.125308;0.00418086;0.00417699;0.00275138;0.00217154;1.01355e-06;1.73466e-06;-0.000185994;0.00322253;0.00245718;0.0032026;0.0926822;0.00751219;0.0925599;2.31248e-05;-4.3784e-06;4.13677e-05;-0.000659193;-0.000656921;-9.31229e-05;9.95569e-06;2.65443e-05;-1.57763e-05;0.000294039;0.000295334;7.30456e-06;3.74286e-05;-3.27928e-05;0.000102983;-0.00148156;-0.00147727;-0.000163964;0.000112196;7.1063e-07;0.000172451;-0.00462002;-0.00463524;0.0001095;2.90123e-05;2.94623e-05;9.30556e-06;0.000388881;0.000389411;-2.18612e-05;-0.000718172;0.000283967;-0.0016562;-0.000717349;-4.77334e-05;-0.000135167;./sim_cue_integration_11_12_2019_092359_1011832158
0;0.25;0;0;0;5;0;1;0;0;0;8;0.8;0.01;0.01;0;0;0.05;0.01;0.5;-1;5;0.01;0.05;0.01;0.05;10;0;0.1;0.25;3;5;-8;0.01;0.01;5;0;0.5;0;0.01;880231277;1;0.01;0.345;0.02;0;0;0.01;0.01;-10;0.01;75000;0.496787;0.447249;0.496467;0.447056;-0.00802375;0.0291084;0.127215;-0.595367;0.500344;-2.3208;1.35056;0.930071;-7.73906;0.325701;8.88495;-0.02656;0.00281638;0.0019762;0.00530109;0.00182765;0.00557359;0.00751888;40000;0.00717265;0.00881943;8.08528;20.4807;0.446711;1.48828;0.470557;0.549136;0.642689;0.4975;0.803931;0.80046;0.00183682;0.00172688;0.00361074;0.00386303;0.00575199;0.00575912;0.00199985;0.00191579;1.69153e-05;2.21402e-05;-7.07843e-06;0.0200834;0.0108811;0.0127535;0.0100306;0.00537345;0.00738698;-4.46905e-05;4.95499e-06;-4.30175e-05;4.09178e-05;8.6564e-05;-2.86334e-05;-9.21504e-05;-1.5674e-05;-7.18512e-05;4.96683e-05;9.23268e-05;-2.29058e-05;4.52278e-05;3.97217e-05;1.3982e-05;-4.39403e-05;-2.36922e-05;-3.5603e-05;-0.000142411;-8.95795e-05;-9.98838e-05;1.63941e-05;3.75818e-05;-7.75162e-06;-1.87688e-05;-1.87914e-05;-7.09942e-06;1.11461e-05;5.11844e-07;5.54544e-05;0.0015598;-2.39768e-06;0.00177262;0.000583438;0.00109979;1.11477e-05;./sim_cue_integration_11_12_2019_092400_839052026
