bmax;amax;init_ajuv;survival_scalar0;sdsoc_horiz;mu_asoc_horiz;init_vc;juvenile_survival;nph;seed;mu_hp;mu_vp;sdmu_g;m;p;mu_hc;mu_agen;mu_bmat_envt;sdsoc_vert;init_vp;gmin;init_bmat_phen;survival_scalar1;init_hp;ncv;npv;mu_g;laplace;nloci_g;sdmu_b;mu_amat;init_asoc_vert;init_g;init_bmat_envt;init_hc;qjuv;gmax;nch;init_agen;sdmu_a;amin;mu_vc;bmin;init_asoc_horiz;mu_asoc_vert;sdmat;mu_bmat_phen;sigmoidal_survival;qmat;init_amat;mu_ajuv;generation;mean_phen_ad;mean_phen_juv;mean_phen_prestige_vert;mean_phen_prestige_horiz;mean_agen;mean_ajuv;mean_amat;mean_asoc_vert;mean_asoc_horiz;mean_bmat_phen;mean_bmat_envt;mean_hc;mean_hp;mean_vc;mean_vp;mean_g;var_phen_ad;var_phen_juv;var_phen_prestige_vert;var_phen_prestige_horiz;var_agen;var_ajuv;var_amat;var_asoc_vert;var_asoc_horiz;var_bmat_phen;var_bmat_envt;var_hc;var_hp;var_vc;var_vp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;var_component_gen;var_component_ajuv;var_component_amat;var_component_amat_envt;var_component_amat_phen;cov_amat_phen_amat_envt;cov_amat_ajuv;cov_amat_envt_ajuv;cov_amat_phen_ajuv;var_component_asoc_vert;var_component_asoc_vert_p;var_component_asoc_vert_c;var_component_asoc_horiz;var_component_asoc_horiz_p;var_component_asoc_horiz_c;cov_amat_asoc_vert;cov_amat_asoc_vert_c;cov_amat_asoc_vert_p;cov_amat_asoc_horiz;cov_amat_asoc_horiz_c;cov_amat_asoc_horiz_p;cov_amat_envt_asoc_vert;cov_amat_envt_asoc_vert_c;cov_amat_envt_asoc_vert_p;cov_amat_envt_asoc_horiz;cov_amat_envt_asoc_horiz_c;cov_amat_envt_asoc_horiz_p;cov_amat_phen_asoc_vert;cov_amat_phen_asoc_vert_c;cov_amat_phen_asoc_vert_p;cov_amat_phen_asoc_horiz;cov_amat_phen_asoc_horiz_c;cov_amat_phen_asoc_horiz_p;cov_ajuv_asoc_vert;cov_ajuv_asoc_vert_c;cov_ajuv_asoc_vert_p;cov_ajuv_asoc_horiz;cov_ajuv_asoc_horiz_c;cov_ajuv_asoc_horiz_p;cov_agen_asoc_vert;cov_agen_asoc_vert_c;cov_agen_asoc_vert_p;cov_agen_asoc_horiz;cov_agen_asoc_horiz_c;cov_agen_asoc_horiz_p;cov_asoc_horiz_vert;cov_asoc_horiz_vert_c;cov_asoc_horiz_vert_p;cov_asoc_horiz_c_vert;cov_asoc_horiz_p_vert;cov_agen_ajuv;file
10;8;0;0.8;0.05;0;0;0;0;431214376;0;0;0.25;0.1;0.483;0;0.01;0.01;0.05;0;-1;0;0;0;0;0;0.01;1;3;0.25;0.01;0;0;0;0;1;1;0;0;0.02;-8;0;-10;0;0;0.05;0.01;0;1;0;0.01;75000;0.497391;0.497391;0;0;0.0055012;-0.104435;0.0813499;0;0;-2.76644;0.248378;0;0;0;0;0.053464;0.000933214;0.000933214;0;0;0.00510887;0.00918332;40000;0;0;7.55547;6.04294;0;0;0;0;0.647456;0.5225;0.800555;0.796096;0.000581193;0.00063259;0.00334997;0.00717553;0.00472839;0.0047291;0.0027017;0.00269039;-8.73714e-05;-8.04006e-05;-7.83045e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.11415e-06;./sim_cue_integration_10_12_2019_204744_409836456
10;8;0;0.8;0.05;0;0;0;0;420405620;0;0;0.25;0.1;0.034;0;0.01;0.01;0.05;0;-1;0;0;0;0;0;0.01;1;3;0.25;0.01;0;0;0;0;1;1;0;0;0.02;-8;0;-10;0;0;0.05;0.01;0;0.5;0;0.01;75000;0.493582;0.493582;0;0;0.547615;-3.28925;1.40955;0;0;-6.18188;-0.0831418;0;0;0;0;1.45976;0.148075;0.148075;0;0;0.011542;0.0272573;39998;0;0;2.99716;0.944853;0;0;0;0;0.349699;0.4975;0.944531;0.921893;0.0250102;0.0358058;0.133056;2.7123;0.311272;0.0938483;0.330306;0.0094722;0.0668135;-0.014363;0.0782573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00862123;./sim_cue_integration_10_12_2019_204744_397915390
10;8;0;0.8;0.05;0;0;0;0;322732947;0;0;0.25;0.1;0.276;0;0.01;0.01;0.05;0;-1;0;0;0;0;0;0.01;1;3;0.25;0.01;0;0;0;0;0.5;1;0;0;0.02;-8;0;-10;0;0;0.05;0.01;0;0.5;0;0.01;75000;0.49499;0.49499;0;0;0.0118884;0.00445166;-0.0466714;0;0;4.03385;0.268804;0;0;0;0;-0.0141853;0.000802777;0.000802777;0;0;0.00860804;0.00593408;40000;0;0;10.7073;6.73704;0;0;0;0;0.626097;0.4825;0.803216;0.795286;0.00050194;0.000542505;0.0055231;0.00295078;0.00457931;0.00462341;0.00290964;0.00290608;-1.75949e-05;-1.26064e-05;-1.25788e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.6939e-05;./sim_cue_integration_10_12_2019_204744_300639715
10;8;0;0.8;0.05;0;0;0;0;311936477;0;0;0.25;0.1;0.724;0;0.01;0.01;0.05;0;-1;0;0;0;0;0;0.01;1;3;0.25;0.01;0;0;0;0;0.5;1;0;0;0.02;-8;0;-10;0;0;0.05;0.01;0;1;0;0.01;75000;0.495408;0.495408;0;0;-0.12998;0.154657;-0.406143;0;0;3.66369;-7.43934;0;0;0;0;-0.75485;0.00430879;0.00430879;0;0;0.00488939;0.00735034;39999.8;0;0;8.7146;2.8652;0;0;0;0;0.55327;0.535;0.807247;0.797833;0.00265794;0.00273397;0.0149113;0.00987568;0.0436222;0.0436738;0.00397397;0.00135045;0.00697376;0.00697958;-0.000255271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000291983;./sim_cue_integration_10_12_2019_204744_289470717
10;8;0;0.8;0.05;0;0;0;0;252094643;0;0;0.25;0.1;0.172;0;0.01;0.01;0.05;0;-1;0;0;0;0;0;0.01;1;3;0.25;0.01;0;0;0;0;0.5;1;0;0;0.02;-8;0;-10;0;0;0.05;0.01;0;0.5;0;0.01;75000;0.499578;0.499578;0;0;-0.0134206;-0.0433002;0.0425383;0;0;-5.56125;-0.655478;0;0;0;0;0.139071;0.000636561;0.000636561;0;0;0.00503547;0.00632011;40000;0;0;5.86087;4.49924;0;0;0;0;0.646145;0.52;0.799618;0.798755;0.00041099;0.000412844;0.00352443;0.00337737;0.00311026;0.0031246;0.00206408;0.00205984;-5.76651e-05;-5.16782e-05;-3.90352e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.33728e-06;./sim_cue_integration_10_12_2019_204744_229882859
10;8;0;0.8;0.05;0;0;0;0;250428049;0;0;0.25;0.1;0.621;0;0.01;0.01;0.05;0;-1;0;0;0;0;0;0.01;1;3;0.25;0.01;0;0;0;0;0.5;1;0;0;0.02;-8;0;-10;0;0;0.05;0.01;0;1;0;0.01;75000;0.503372;0.503372;0;0;-0.0165882;-0.0946278;0.125864;0;0;1.3091;5.93924;0;0;0;0;0.0893092;0.00115614;0.00115614;0;0;0.0082213;0.00908521;40000;0;0;14.186;4.18252;0;0;0;0;0.631552;0.485;0.79574;0.803871;0.00075677;0.000735024;0.00550263;0.00669409;0.00644077;0.00644035;0.00165024;0.00162718;-0.000675638;-0.000676182;-4.05003e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.77946e-06;./sim_cue_integration_10_12_2019_204744_228169896
10;8;0;0.8;0.05;0;0;0;0;251896953;0;0;0.25;0.1;0.379;0;0.01;0.01;0.05;0;-1;0;0;0;0;0;0.01;1;3;0.25;0.01;0;0;0;0;1;1;0;0;0.02;-8;0;-10;0;0;0.05;0.01;0;1;0;0.01;75000;0.492471;0.492471;0;0;-0.0135056;-0.578894;0.507431;0;0;-3.74656;0.0239008;0;0;0;0;0.0389311;0.0068672;0.0068672;0;0;0.0091212;0.00749669;39999.7;0;0;6.55157;0.854864;0;0;0;0;0.638276;0.465;0.819404;0.796455;0.00391985;0.00450333;0.00608545;0.0870667;0.0166483;0.015611;0.00762628;0.00557348;0.00194331;9.64838e-05;0.00188115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.34498e-05;./sim_cue_integration_10_12_2019_204744_228147700
10;8;0;0.8;0.05;0;0;0;0;241113185;0;0;0.25;0.1;0.069;0;0.01;0.01;0.05;0;-1;0;0;0;0;0;0.01;1;3;0.25;0.01;0;0;0;0;0.5;1;0;0;0.02;-8;0;-10;0;0;0.05;0.01;0;0.5;0;0.01;75000;0.502452;0.502452;0;0;0.0186612;-0.0191484;0.0403138;0;0;-5.52086;1.08269;0;0;0;0;0.0089536;0.000657983;0.000657983;0;0;0.00466797;0.00723606;40000;0;0;5.1227;18.7108;0;0;0;0;0.635721;0.465;0.79754;0.801402;0.000421875;0.000413411;0.00319369;0.00408124;0.00379666;0.00381977;0.00211804;0.00212235;-4.32052e-05;-4.0576e-05;-5.15855e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.02761e-05;./sim_cue_integration_10_12_2019_204744_197695878
10;8;0;0.8;0.05;0;0;0;0;222822711;0;0;0.25;0.1;0.276;0;0.01;0.01;0.05;0;-1;0;0;0;0;0;0.01;1;3;0.25;0.01;0;0;0;0;1;1;0;0;0.02;-8;0;-10;0;0;0.05;0.01;0;1;0;0.01;75000;0.506844;0.506844;0;0;-0.0041018;-1.14603;1.05554;0;0;-0.646193;-0.0810548;0;0;0;0;0.0447825;0.0208696;0.0208696;0;0;0.0078793;0.0156831;39998.9;0;0;2.09308;0.279733;0;0;0;0;0.647237;0.5075;0.830032;0.823663;0.0111255;0.0116259;0.00523596;0.329061;0.024946;0.0226292;0.00859458;0.00469876;0.00233359;-0.00284132;0.00545046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.000560897;./sim_cue_integration_10_12_2019_204744_175987285
10;8;0;0.8;0.05;0;0;0;0;186389436;0;0;0.25;0.1;0.862;0;0.01;0.01;0.05;0;-1;0;0;0;0;0;0.01;1;3;0.25;0.01;0;0;0;0;1;1;0;0;0.02;-8;0;-10;0;0;0.05;0.01;0;0.5;0;0.01;75000;0.516007;0.516007;0;0;-0.397231;2.16819;-0.919292;0;0;-0.812679;-0.0642372;0;0;0;0;1.46821;0.0680181;0.0680181;0;0;0.00525188;0.0129526;39999.2;0;0;2.50408;0.478925;0;0;0;0;0.348921;0.51;0.86891;0.861501;0.0273128;0.0292292;0.0682133;1.17276;0.0325073;0.0251952;0.0148517;0.00420517;0.00245257;0.000908997;0.00202302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00535438;./sim_cue_integration_10_12_2019_204744_162721256
