sdmu_a;init_bmat_phen;mu_asoc_vert;init_vp;mu_bmat_envt;amax;init_asoc_horiz;sdsoc_horiz;m;amin;mu_amat;nph;init_vc;init_asoc_vert;sdsoc_vert;init_ajuv;qjuv;gmin;init_hc;npv;mu_bmat_phen;sdmu_g;survival_scalar1;seed;init_hp;survival_scalar0;bmax;mu_g;init_agen;nch;mu_hp;init_bmat_envt;mu_hc;mu_vc;sdmat;mu_agen;laplace;sigmoidal_survival;qmat;bmin;mu_asoc_horiz;nloci_g;init_amat;mu_ajuv;init_g;ncv;gmax;sdmu_b;mu_vp;p;generation;mean_phen_ad;mean_phen_juv;mean_phen_prestige_vert;mean_phen_prestige_horiz;mean_agen;mean_ajuv;mean_amat;mean_asoc_vert;mean_asoc_horiz;mean_bmat_phen;mean_bmat_envt;mean_hc;mean_hp;mean_vc;mean_vp;mean_g;var_phen_ad;var_phen_juv;var_phen_prestige_vert;var_phen_prestige_horiz;var_agen;var_ajuv;var_amat;var_asoc_vert;var_asoc_horiz;var_bmat_phen;var_bmat_envt;var_hc;var_hp;var_vc;var_vp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0.02;0;0.01;0;0.01;8;0;1;0.1;0;0.01;0;0;0;0.1;0;0.95;-1;0;5;0.01;0.25;0;1962485508;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.517929;0.489994;0.511715;0;0.781306;0.0473309;0.106621;3.08819;0.312554;-2.5349;2.24897;6.91134;-0.124381;0.947821;-9.29377;-2.06215;0.0707807;0.0669583;0.111708;0;0.00460511;0.0014471;40000;0.0240691;0.0166695;11.0419;8.5875;2.68874;13.4195;0.310771;0.249459;-2.63917;0.4825;0.87645;0.87135;0.0230197;0.0269247;./sim_cue_integration_18_10_2019_135520_1980099122
0.02;0;0.01;0;0.01;8;0;0.05;0.9;0;0.01;0;0;0;1;0;0.5;-1;0;5;0.01;0.25;0;1962326505;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.222;49990;0.513069;0.508314;0.513384;0;0.105596;0.0745871;0.087104;0.0917805;0.14705;-3.1098;2.3673;-1.46275;7.31097;-3.76983;-0.598747;-0.459781;0.00165473;0.0015658;0.00316752;0;0.00444671;0.00298442;40000;0.00386669;0.00893273;5.4042;6.34401;6.01269;2.44221;4.17339;7.06564;0.542553;0.5025;0.787727;0.809196;0.00111591;0.00100626;./sim_cue_integration_18_10_2019_135520_1980221745
0.02;0;0.01;0;0.01;8;0;1;0.1;0;0.01;0;0;0;0.05;0;0.5;-1;0;5;0.01;0.25;0;1963513216;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.536717;0.506061;0.482996;0;0.757706;0.0901376;0.101142;2.84028;0.328494;-7.26085;-0.279241;7.30787;2.44763;0.894673;-9.22037;-2.00913;0.0662423;0.0623032;0.103092;0;0.0044092;0.00359636;40000;0.0173991;0.0124295;3.10321;8.63442;3.44702;8.49804;0.328744;0.294276;-2.48785;0.5325;0.862036;0.873513;0.0261364;0.0254373;./sim_cue_integration_18_10_2019_135520_1982595783
0.02;0;0.01;0;0.01;8;0;1;0.1;0;0.01;0;0;0;1;0;0.5;-1;0;5;0.01;0.25;0;1963687670;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.514592;0.506317;0.515696;0;0.0917769;0.073276;0.0873469;0.0978107;0.0851101;4.19131;-1.15876;-2.05736;6.1481;-5.11844;-3.00649;-0.655831;0.001508;0.00135202;0.00288024;0;0.0034696;0.00240062;40000;0.00333506;0.00389288;7.0604;10.4792;9.35467;6.62105;4.83711;12.9791;0.347996;0.4925;0.787668;0.809955;0.00101688;0.000937357;./sim_cue_integration_18_10_2019_135520_1982626625
0.02;0;0.01;0;0.01;8;0;0.1;0.9;0;0.01;0;0;0;0.1;0;0.9;-1;0;5;0.01;0.25;0;1971259031;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.511717;0.502169;0.51177;0;0.108468;0.050249;0.0845206;0.0829737;0.198832;0.118393;3.61167;-2.78879;7.39238;-6.41692;-5.17477;-0.588302;0.00146516;0.001223;0.00276822;0;0.00408872;0.00129051;40000;0.00330534;0.0112419;10.4727;6.81337;4.1954;2.95838;4.47956;3.44049;0.413828;0.4775;0.789594;0.806686;0.000970939;0.000913562;./sim_cue_integration_18_10_2019_135520_1988998352
0.02;0;0.01;0;0.01;8;0;0.1;0.9;0;0.01;0;0;0;0.1;0;0.5;-1;0;5;0.01;0.25;0;1981825379;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0;49990;0.974476;0.740753;0.0104996;0;2.01992;0.144109;1.53311;4.05057;3.18763;-8.00889;0.25495;8.15429;2.12043;-5.2029;-7.36826;-1.97285;0.00191998;0.030986;4.66356e-05;0;0.0190612;0.0109936;39997.6;0.0945351;0.054217;1.87715;2.78422;1.37015;13.7779;4.66512;2.58469;-2.37546;1;0.995528;-nan;0.000343506;-nan;./sim_cue_integration_18_10_2019_135520_1962919546
0.02;0;0.01;0;0.01;8;0;1;0.9;0;0.01;0;0;0;0.1;0;0.9;-1;0;5;0.01;0.25;0;1966272711;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.513855;0.506139;0.512735;0;0.0910851;0.0522566;0.0693872;0.109522;0.0727981;5.28229;3.99086;-5.03558;3.34437;-3.13137;-0.870408;-0.557884;0.00124393;0.00112398;0.0023119;0;0.00346365;0.00145495;40000;0.00382072;0.00258797;9.35445;5.9721;8.51082;9.66421;8.92594;11.4192;0.471597;0.5175;0.788042;0.808935;0.000827297;0.000754318;./sim_cue_integration_18_10_2019_135520_1957178947
0.02;0;0.01;0;0.01;8;0;0.1;0.1;0;0.01;0;0;0;1;0;0.95;-1;0;5;0.01;0.25;0;1976682782;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0;49990;0.516108;0.476386;0.461807;0;0.164197;0.015355;0.0832047;0.0963337;0.208286;0.629589;0.292465;-6.46621;4.13685;-1.12832;-6.62529;-1.03472;0.0022005;0.00170405;0.00125648;0;0.00488025;0.000261526;40000;0.00369836;0.0061718;26.5156;12.1536;3.7232;8.68483;3.85277;4.18787;-0.194084;1;0.782761;-nan;0.00150792;-nan;./sim_cue_integration_18_10_2019_135520_1956873954
0.02;0;0.01;0;0.01;8;0;0.1;0.9;0;0.01;0;0;0;1;0;0.5;-1;0;5;0.01;0.25;0;1964171720;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.222;49990;0.51249;0.508378;0.510306;0;0.0926447;0.0753379;0.0827755;0.0950787;0.149597;2.20166;1.52757;-0.531269;7.28858;-3.98951;-5.50198;-0.53426;0.00142657;0.00137392;0.00268245;0;0.00349692;0.00235837;40000;0.00370018;0.00886546;13.6597;9.51755;3.60561;2.64394;8.32852;8.25583;0.469785;0.4975;0.788526;0.808506;0.000948496;0.000863182;./sim_cue_integration_18_10_2019_135520_1954719534
0.02;0;0.01;0;0.01;8;0;1;0.1;0;0.01;0;0;0;0.1;0;0.5;-1;0;5;0.01;0.25;0;1965507334;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.517916;0.48342;0.504253;0;0.738175;0.0853111;0.111087;2.72443;0.368399;-1.91238;1.72052;7.70758;3.05152;0.664796;-9.14516;-2.03799;0.0646228;0.0596941;0.106179;0;0.0050582;0.00335654;40000;0.0200224;0.0141934;18.5267;12.5319;1.92338;6.46562;0.322833;0.346833;-2.5675;0.485;0.874152;0.883922;0.0220323;0.0210932;./sim_cue_integration_18_10_2019_135520_1945928393
0.02;0;0.01;0;0.01;8;0;1;0.1;0;0.01;0;0;0;0.05;0;0.95;-1;0;5;0.01;0.25;0;1963474767;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0;49990;0.961306;0.956777;0.0185273;0;1.75982;0.10657;2.09219;5.23492;0.187832;-8.27422;-0.224354;7.18149;2.7598;-6.54609;-6.54685;-2.01052;0.00126548;0.00150218;9.91622e-05;0;0.0171872;0.00368786;39995.6;0.0340038;0.0167159;1.12762;1.94911;2.66722;9.49591;2.3375;3.78252;-2.48236;1;0.994766;-nan;0.000239736;-nan;./sim_cue_integration_18_10_2019_135520_1944102407
0.02;0;0.01;0;0.01;8;0;0.05;0.1;0;0.01;0;0;0;1;0;0.5;-1;0;5;0.01;0.25;0;1961222768;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0;49990;0.511904;0.50892;0.469061;0;0.0949932;0.0745504;0.0782979;0.0963918;0.132155;1.28974;-2.36377;-1.03471;7.65754;-4.29852;-5.84586;-0.485985;0.00141346;0.00137712;0.00070313;0;0.0031431;0.00246981;40000;0.00382481;0.00674101;21.3741;16.694;4.13786;2.43363;9.41592;4.64228;0.525091;1;0.788929;-nan;0.000933519;-nan;./sim_cue_integration_18_10_2019_135520_1943604414
0.02;0;0.01;0;0.01;8;0;0.05;0.1;0;0.01;0;0;0;1;0;0.95;-1;0;5;0.01;0.25;0;1961961189;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.524105;0.486329;0.527292;0;0.129836;0.0214335;0.0626414;0.0869271;0.21921;-3.29719;0.925367;-6.3941;2.14202;-3.51289;-4.99869;-0.940553;0.00198394;0.00121104;0.00357531;0;0.00430827;0.000400644;40000;0.0030057;0.0093606;16.8054;11.0114;3.44239;14.0798;8.93599;5.80725;-0.0319535;0.485;0.778122;0.816562;0.00142296;0.00116682;./sim_cue_integration_18_10_2019_135520_1942353006
0.02;0;0.01;0;0.01;8;0;0.1;0.9;0;0.01;0;0;0;1;0;0.9;-1;0;5;0.01;0.25;0;1959718702;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0;49990;0.517083;0.479283;0.463113;0;0.155361;0.0195697;0.0779442;0.0894574;0.19417;0.900246;2.84968;-6.88185;2.87936;-1.56666;-5.96609;-0.957868;0.00208983;0.00151237;0.00117049;0;0.0050027;0.000340251;40000;0.00317709;0.00673794;9.08309;9.23514;2.95239;5.71578;7.64791;11.3481;-0.0755151;1;0.781852;-nan;0.00148181;-nan;./sim_cue_integration_18_10_2019_135520_1939244789
0.02;0;0.01;0;0.01;8;0;0.05;0.1;0;0.01;0;0;0;0.1;0;0.9;-1;0;5;0.01;0.25;0;1954515521;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0;49990;0.974807;0.795147;0.0135153;0;1.94425;0.134826;1.31513;4.57003;2.5786;-7.40743;-0.216533;7.34512;-0.318396;-6.19955;-5.67102;-1.97631;0.000855179;0.0211461;7.22935e-05;0;0.0164808;0.00654701;39998.3;0.0493308;0.0364914;1.8559;2.33053;2.19445;7.74803;3.55444;4.56668;-2.38036;1;0.994805;-nan;0.000337076;-nan;./sim_cue_integration_18_10_2019_135520_1935409928
0.02;0;0.01;0;0.01;8;0;0.1;0.1;0;0.01;0;0;0;0.05;0;0.5;-1;0;5;0.01;0.25;0;1955154626;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0;49990;0.976073;0.746401;0.0128177;0;1.94103;0.151422;0.658838;4.53177;3.15531;-8.15676;-0.571243;7.43848;1.43075;-6.9005;-7.15329;-1.9188;0.00149487;0.0262694;6.69962e-05;0;0.0155284;0.00964652;39999.6;0.0295648;0.0334768;1.13347;4.61628;2.08448;11.4063;2.46291;3.08789;-2.2273;1;0.995373;-nan;0.00027374;-nan;./sim_cue_integration_18_10_2019_135520_1935083956
0.02;0;0.01;0;0.01;8;0;0.05;0.1;0;0.01;0;0;0;1;0;0.9;-1;0;5;0.01;0.25;0;1849644516;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.222;49990;0.516638;0.480649;0.517809;0;0.151808;0.0269389;0.0906646;0.0856731;0.196847;-3.98658;-0.302057;-5.50921;1.42742;-5.84518;-1.62725;-1.04816;0.00225656;0.00168184;0.00414356;0;0.0045257;0.000551616;40000;0.00329025;0.00807796;6.39729;14.1155;4.05987;7.17171;7.96294;16.5619;-0.152948;0.47;0.783601;0.81086;0.00156834;0.00137433;./sim_cue_integration_18_10_2019_135520_1832942001
0.02;0;0.01;0;0.01;8;0;1;0.9;0;0.01;0;0;0;0.05;0;0.95;-1;0;5;0.01;0.25;0;1824380943;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.5115;0.500919;0.50972;0;0.0988395;0.0486858;0.102689;0.101738;0.0858066;-0.110238;-1.47693;-5.409;-0.733679;-3.90034;-3.8599;-0.759438;0.00133738;0.00116294;0.00245004;0;0.00318309;0.00140985;40000;0.00362084;0.00351008;24.2537;7.17583;4.04975;15.6753;6.27183;13.3426;0.211586;0.5;0.788293;0.808248;0.000870078;0.000819007;./sim_cue_integration_18_10_2019_135520_1807614065
0.02;0;0.01;0;0.01;8;0;1;0.1;0;0.01;0;0;0;1;0;0.5;-1;0;5;0.01;0.25;0;1816889006;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.222;49990;0.5175;0.510283;0.518287;0;0.0841562;0.0667922;0.102396;0.100036;0.070745;-5.39523;-2.16901;-3.99905;4.34272;-4.1184;-3.62651;-0.59134;0.00129404;0.00119512;0.00233643;0;0.00255466;0.00176753;40000;0.00336842;0.00238413;7.24266;16.024;6.6242;13.7182;6.30246;11.9345;0.411684;0.495;0.78401;0.812963;0.000916606;0.000754825;./sim_cue_integration_18_10_2019_135520_1798808125
0.02;0;0.01;0;0.01;8;0;0.1;0.9;0;0.01;0;0;0;1;0;0.9;-1;0;5;0.01;0.25;0;1818477286;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.514863;0.504632;0.513789;0;0.0937002;0.0546809;0.0866069;0.0821553;0.129125;-0.355318;-1.21216;-4.98368;5.4166;-3.85732;-6.98416;-0.62644;0.00138865;0.00112947;0.00256227;0;0.00324735;0.00153434;40000;0.00312412;0.0069729;9.91746;10.5464;4.75593;4.55417;12.3941;5.98696;0.39795;0.5125;0.786264;0.810386;0.000930648;0.000831105;./sim_cue_integration_18_10_2019_135520_1791879841
0.02;0;0.01;0;0.01;8;0;1;0.1;0;0.01;0;0;0;0.05;0;0.5;-1;0;5;0.01;0.25;0;1825010327;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.222;49990;0.518284;0.498633;0.517261;0;0.359724;0.0733045;0.0891472;1.18183;0.17335;-2.58642;-0.962471;6.35784;5.05541;-0.22842;-9.2604;-1.69642;0.0129523;0.0117144;0.0243429;0;0.00422479;0.00287502;40000;0.0132649;0.0072576;16.3693;9.33986;3.32927;3.47133;0.41358;0.279429;-1.60402;0.5375;0.807488;0.833155;0.00754092;0.00631473;./sim_cue_integration_18_10_2019_135520_1806434396
0.02;0;0.01;0;0.01;8;0;1;0.9;0;0.01;0;0;0;1;0;0.95;-1;0;5;0.01;0.25;0;1815560478;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.511773;0.50059;0.509082;0;0.115554;0.0507216;0.0863085;0.0978111;0.0945655;-2.618;-3.61666;-5.15389;2.48864;-5.4097;-2.11128;-0.684072;0.0015414;0.00135488;0.00288679;0;0.00382479;0.0013321;40000;0.00360408;0.00364453;17.41;11.1187;6.01182;5.9897;8.26127;15.5531;0.316668;0.5075;0.788485;0.808051;0.00102463;0.000940969;./sim_cue_integration_18_10_2019_135520_1787348680
0.02;0;0.01;0;0.01;8;0;0.1;0.9;0;0.01;0;0;0;1;0;0.5;-1;0;5;0.01;0.25;0;1748894627;0;0.8;10;0.01;0;5;0.01;0;0.01;0.01;0.05;0.01;1;0;0.5;-10;0.01;3;0;0.01;0;5;1;0.25;0.01;0.111;49990;0.513989;0.509913;0.515195;0;0.076887;0.0700638;0.0943894;0.0951722;0.138787;3.31451;0.991467;-0.582268;7.39184;-4.50788;-5.36722;-0.633132;0.00126095;0.00120648;0.0023163;0;0.00266824;0.00212497;40000;0.00350916;0.00663161;13.4166;9.45877;4.52598;3.2064;5.36622;7.93485;0.365629;0.505;0.787979;0.809531;0.000840311;0.000770205;./sim_cue_integration_18_10_2019_135520_1729841162
