mu_g;sdmu_g;survival_scalar1;init_asoc;init_amat;sdmu_b;init_agen;sdmu_a;mu_dp;np;gmax;bmin;amin;nc;amax;sigmoidal_survival;mu_agen;bmax;seed;mu_asoc;init_bmat_phen;sdsoc;survival_scalar0;qmat;qjuv;gmin;init_dp;mu_bmat_envt;mu_bmat_phen;init_ajuv;nloci_g;mu_ajuv;p;mu_dc;sdmat;init_dc;init_g;m;mu_amat;init_bmat_envt;laplace;generation;mean_phen_ad;mean_phen_prestige;mean_agen;mean_ajuv;mean_amat;mean_asoc;mean_bmat_phen;mean_bmat_envt;mean_dc;mean_dp;mean_g;var_phen_ad;var_phen_prestige;var_agen;var_ajuv;var_amat;var_asoc;var_bmat_phen;var_bmat_envt;var_dc;var_dp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;493741013;0.01;0;0.05;0.8;1;0.9;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.506965;0.516973;0.45893;0.0460777;0.898699;0.884262;-5.71903;6.56787;-0.180044;-8.78305;-1.79993;2830.57;2989.61;2150.78;33.5162;39999.2;7997.02;377832;465379;176767;778629;13568.5;0.48;0.810385;0.827106;0.0154624;0.0138066;./sim_cue_integration_17_8_2019_230646_470732777
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;465598454;0.01;0;0.05;0.8;0.5;0.9;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.512173;0.51112;0.100927;0.0719055;0.080054;0.0913404;5.48232;0.559214;3.83859;-1.63644;-0.396687;2635.81;2625.43;139.806;73.433;40000;134.207;358679;84990.4;294387;305051;7231.67;0.49;0.79061;0.807306;0.00084461;0.000796559;./sim_cue_integration_17_8_2019_230646_451370425
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;456672860;0.01;0;0.05;0.8;0.9;0.5;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.5157;0.510627;0.454841;0.0777548;0.453199;1.31831;-1.81125;6.62777;-0.2887;-8.91668;-1.7562;2861.86;2858.25;2111.58;86.8941;39999.8;17513.2;119894;465443;138257;799916;13077.6;0.4625;0.808525;0.816363;0.0120598;0.0114299;./sim_cue_integration_17_8_2019_230646_442377156
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;432531046;0.01;0;0.05;0.8;0.9;1;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.520473;0.500279;0.470841;0.0408304;0.520247;1.35856;-3.75725;6.83489;0.779922;-8.95321;-1.84163;2915.91;2758.77;2262.42;26.4056;39999.7;18567.2;185768;488280;189027;806096;13924.7;0.5075;0.80922;0.821737;0.0122914;0.0112654;./sim_cue_integration_17_8_2019_230646_418464505
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;428508965;0.01;0;0.05;0.8;0.5;0.9;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.516368;0.515713;0.0826398;0.0255188;0.0697452;0.140847;2.73492;2.9258;1.23251;-8.00418;-0.431329;2673.31;2665.97;99.1645;12.1201;40000;263.443;273250;300967;65373.7;661298;7155.12;0.53;0.78454;0.810781;0.000456494;0.000441601;./sim_cue_integration_17_8_2019_230646_415219692
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;424285362;0.01;0;0.05;0.8;0.5;1;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.514563;0.514907;0.0902788;0.0201616;0.0841824;0.126672;3.3717;4.41905;0.423387;-8.09148;-0.483841;2655.88;2658.64;117.562;7.68694;40000;215.266;222315;338419;188636;667422;7492.8;0.485;0.784992;0.808483;0.000560081;0.00052184;./sim_cue_integration_17_8_2019_230646_409884275
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;423616928;0.01;0;0.05;0.8;0.5;0.5;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.511699;0.512246;0.101573;0.0678516;0.0834225;0.0876722;-2.78274;2.88873;-2.12853;1.899;-0.39297;2630.91;2636.77;145.559;68.2123;40000;109.374;210532;183297;178596;197105;7208.89;0.4875;0.789851;0.807743;0.000841424;0.000784778;./sim_cue_integration_17_8_2019_230646_401960286
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;416051372;0.01;0;0.05;0.8;0.9;0.5;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.51118;0.512014;0.0907953;0.0782061;0.0848327;0.0901047;1.84326;-1.52133;-4.00438;-2.33151;-0.458924;2625.28;2634.56;113.004;88.4591;40000;121.318;186511;180054;277534;259203;7331.28;0.515;0.790165;0.80809;0.000857353;0.000762484;./sim_cue_integration_17_8_2019_230646_401074992
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;404405236;0.01;0;0.05;0.8;1;1;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.543011;0.482887;0.565411;0.0309367;1.52993;0.846311;-1.36491;7.16724;-1.00014;-8.13188;-1.92527;3465.22;2949;3239.35;15.9591;39997.7;7263.93;145423;543296;171486;675013;14632.2;0.5325;0.871072;0.862867;0.0187165;0.0221257;./sim_cue_integration_17_8_2019_230646_389924328
0.01;0.25;0;0;0;0.25;0;0.02;0.01;10;1;-10;0;10;8;0;0.01;10;403036673;0.01;0;0.05;0.8;0.5;0.5;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.500619;0.526485;0.862372;0.0922378;0.0938667;3.47364;-5.25843;0.289082;1.27454;-9.26977;-1.92994;3387.5;4246.82;7498.65;124.772;40000;120837;355688;125109;19663.6;861801;14667.9;0.49;0.892596;0.905142;0.026088;0.0241716;./sim_cue_integration_17_8_2019_230646_388877491
