init_g;mu_g;mu_bmat_envt;mu_dp;laplace;gmin;init_bmat_phen;qjuv;qmat;m;sdmu_b;init_amat;bmin;survival_scalar1;np;nloci_g;nc;mu_agen;sdmat;amax;mu_dc;sdsoc;gmax;sigmoidal_survival;seed;init_dp;sdmu_g;init_bmat_envt;mu_asoc;survival_scalar0;init_ajuv;bmax;init_asoc;p;init_agen;mu_bmat_phen;mu_ajuv;amin;sdmu_a;mu_amat;init_dc;generation;mean_phen_ad;mean_phen_prestige;mean_agen;mean_ajuv;mean_amat;mean_asoc;mean_bmat_phen;mean_bmat_envt;mean_dc;mean_dp;mean_g;var_phen_ad;var_phen_prestige;var_agen;var_ajuv;var_amat;var_asoc;var_bmat_phen;var_bmat_envt;var_dc;var_dp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0;0.01;0.01;0.01;1;-1;0;1;0.0344828;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;91938747;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.520926;0.527096;0.121035;1.38201;0.116512;0.117358;0.507285;0.85438;-3.58244;3.88826;-0.284541;3628.74;3765.39;202.636;19228.3;40000;180.032;235215;183048;267093;279632;7231.92;0.495;0.886419;0.913943;0.0325223;0.0241293;./sim_cue_integration_18_8_2019_110206_78624738
0;0.01;0.01;0.01;1;-1;0;1;0.137931;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;56097036;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.511885;0.524114;0.114592;1.33986;0.108614;0.107408;1.32588;-1.72964;-2.71158;-0.31289;-0.347322;3496.13;3620.14;190.115;18055.5;40000;161.958;216655;102892;206545;120716;7238.58;0.495;0.883199;0.91276;0.0317473;0.023032;./sim_cue_integration_18_8_2019_110206_42700357
0;0.01;0.01;0.01;1;-1;0;0.5;0.103448;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;31849352;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.503598;0.504891;0.699071;0.0888064;0.366584;2.20939;-4.63626;-6.36354;-2.11442;8.34442;-1.80438;3161.69;3303.26;4944.91;110.31;39999.9;48954.1;262659;444427;149430;703407;13712.8;0.4975;0.865668;0.864823;0.0230628;0.0233718;./sim_cue_integration_18_8_2019_110206_12329351
0;0.01;0.01;0.01;1;-1;0;1;0.241379;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;18203718;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.518799;0.513906;0.115816;1.3593;0.0980972;0.136943;0.290495;-0.666655;-1.49246;1.04766;-0.380618;3575.5;3526.79;192.525;18596.9;40000;253.316;162436;120698;133039;219891;7485.57;0.51;0.89751;0.903812;0.0273753;0.0265608;./sim_cue_integration_18_8_2019_110206_4151013
0;0.01;0.01;0.01;1;-1;0;0.5;0.206897;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;10563294;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.510109;0.509662;0.682995;0.0873129;0.175358;2.38348;5.00004;-5.51918;2.43846;8.4737;-1.83013;3196.34;3320.37;4724.89;105.42;40000;56992.1;294553;354505;164805;726860;13901.3;0.505;0.843807;0.863766;0.0269277;0.0240225;./sim_cue_integration_18_8_2019_110206_2176130
0;0.01;0.01;0.01;1;-1;0;0.5;0.310345;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;1512216;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.506904;0.503152;0.671984;0.102318;0.178582;2.39166;1.97579;-4.47493;-0.354243;8.51608;-1.8302;3164.56;3265.29;4571.34;144.774;40000;57470.8;165128;261931;147926;734755;13751.6;0.495;0.863184;0.863499;0.0227057;0.0241087;./sim_cue_integration_18_8_2019_110207_16306461
0;0.01;0.01;0.01;1;-1;0;0.5;0.413793;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;63495495;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.513272;0.515085;0.668425;0.0706815;0.108398;2.42773;3.82308;-4.19621;-4.32206;8.85021;-1.86452;3219.29;3365.97;4511.83;72.3566;40000;59130.9;245917;277008;289359;788906;14060.9;0.505;0.851677;0.8655;0.0255901;0.0230136;./sim_cue_integration_18_8_2019_110207_84691093
0;0.01;0.01;0.01;1;-1;0;1;0.344828;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;74279320;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.506469;0.499399;0.130261;1.33542;0.103432;0.13903;2.68739;-0.0561225;0.3061;4.85853;-0.465684;3449.97;3383.78;230.829;17978.1;40000;259.071;192213;144475;91687.3;392367;7505.21;0.495;0.902291;0.897593;0.0259019;0.0285718;./sim_cue_integration_18_8_2019_110207_86466184
0;0.01;0.01;0.01;1;-1;0;1;0.551724;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;79616141;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.502637;0.49043;0.123103;1.39163;0.100989;0.116239;-2.97545;-3.28683;-0.594652;0.05083;-0.115761;3424.49;3302.85;214.477;19474.5;40000;175.813;170068;205641;78493.9;114017;7350.92;0.4675;0.908746;0.898656;0.0235225;0.0291173;./sim_cue_integration_18_8_2019_110207_94144207
0;0.01;0.01;0.01;1;-1;0;1;0.448276;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;79343308;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.501286;0.512833;0.106081;1.4022;0.126565;0.126439;-4.50876;2.57529;1.66355;-0.53764;-0.332744;3415.77;3534.03;154.692;19803.9;40000;229.161;252823;286003;227959;158280;7337.06;0.47;0.871154;0.897952;0.0370539;0.0291869;./sim_cue_integration_18_8_2019_110207_99025048
