init_amat;mu_ajuv;mu_dc;init_bmat_envt;init_ajuv;nc;mu_bmat_envt;bmax;qmat;np;gmax;sigmoidal_survival;sdmu_b;survival_scalar1;gmin;seed;sdmu_g;amin;survival_scalar0;sdsoc;mu_g;mu_bmat_phen;mu_agen;m;qjuv;init_bmat_phen;init_dp;nloci_g;init_dc;mu_dp;mu_amat;amax;laplace;init_agen;mu_asoc;sdmu_a;bmin;init_asoc;p;sdmat;init_g;generation;mean_phen_ad;mean_phen_prestige;mean_agen;mean_ajuv;mean_amat;mean_asoc;mean_bmat_phen;mean_bmat_envt;mean_dc;mean_dp;mean_g;var_phen_ad;var_phen_prestige;var_agen;var_ajuv;var_amat;var_asoc;var_bmat_phen;var_bmat_envt;var_dc;var_dp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0;0.01;0.01;0;0;10;0.01;10;0.9;0;1;0;0.25;0;-1;819090206;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;0.5;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0;0.05;0;49990;0.975723;0;2.25454;0.165933;3.98828;4.93234;-8.14526;0.889492;-7.75893;0.780536;-1.91109;9529.88;0;51135.6;394.593;39984.1;243524;674172;25858.3;618358;74803.8;14632.2;1;0.996487;-nan;0.000352622;-nan;./sim_cue_integration_18_8_2019_220237_831594234
0;0.01;0.01;0;0;50;0.01;10;1;0;1;0;0.25;0;-1;934723327;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;1;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0;0.05;0;49990;0.981388;0;2.0549;0.108485;4.69898;4.0803;-5.79685;6.97513;-7.43273;0.62396;-1.94819;9634.8;0;42407.1;167.378;39977.9;167227;395524;518257;572850;64567.7;14897.3;1;0.996648;-nan;0.000204153;-nan;./sim_cue_integration_18_8_2019_220237_955123824
0;0.01;0.01;0;0;50;0.01;10;0.9;0;1;0;0.25;0;-1;947366398;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;1;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0;0.05;0;49990;0.977962;0;2.0196;0.0836007;3.7501;4.89596;-8.12626;1.03347;-7.5366;1.95675;-1.96368;9570.32;0;41011.9;101.333;39985.9;240088;669770;29989.2;579929;111073;15185.5;1;0.995984;-nan;0.000273961;-nan;./sim_cue_integration_18_8_2019_220237_960105346
0;0.01;0.01;0;0;2;0.01;10;1;0;1;0;0.25;0;-1;1073577769;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;0.5;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0;0.05;0;49990;0.984842;0;2.21627;0.206767;5.15896;4.23218;-5.29058;7.51834;-6.93582;0.043338;-1.93793;9703.3;0;49469.4;579.222;39973.4;179611;333677;586371;500016;63524.3;15019.7;1;0.996736;-nan;0.000314702;-nan;./sim_cue_integration_18_8_2019_220237_1088695549
0;0.01;0.01;0;0;10;0.01;10;0.9;0;1;0;0.25;0;-1;1094195114;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;0.5;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0.05;0.05;0;49990;0.533501;0;0.698533;0.0976484;1.65471;1.31853;-7.80759;3.73188;-7.43459;0.0526512;-1.90735;3597.95;0;4934.99;137.991;39997.3;17553.7;627867;160914;577801;39594.2;14548.3;0.525;0.861618;0.875646;0.0290432;0.0277276;./sim_cue_integration_18_8_2019_220237_1110349807
0;0.01;0.01;0;0;2;0.01;10;0.9;0;1;0;0.25;0;-1;1125531683;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;0.5;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0;0.05;0;49990;0.976372;0;2.07272;0.180539;4.57889;4.02958;-8.20378;1.07948;-7.44158;-1.02179;-1.93295;9543.02;0;43241.8;430.318;39979;162864;683260;30092.6;572555;103382;14746;1;0.995869;-nan;0.000372437;-nan;./sim_cue_integration_18_8_2019_220237_1140872620
0;0.01;0.01;0;0;10;0.01;10;0.5;0;1;0;0.25;0;-1;1122944958;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;0.5;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0.1;0.05;0;49990;0.515639;0;0.11862;0.0740663;0.073983;0.371871;-5.87963;-2.65904;-5.90887;2.27698;-0.808097;2689.84;0;180.18;79.7385;40000;1601.93;438368;158891;379892;93139.9;8346.93;0.545;0.789425;0.816496;0.00207625;0.00189238;./sim_cue_integration_18_8_2019_220237_1137481478
0;0.01;0.01;0;0;10;0.01;10;1;0;1;0;0.25;0;-1;1129854317;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;1;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0;0.05;0;49990;0.980667;0;2.23357;0.141328;5.34196;3.82331;-5.22442;5.94375;-7.73181;1.23423;-1.89341;9622.84;0;50119.4;264.324;39971.5;146813;330592;393375;614207;118402;14387.8;1;0.996182;-nan;0.000350864;-nan;./sim_cue_integration_18_8_2019_220237_1146586762
0;0.01;0.01;0;0;10;0.01;10;1;0;1;0;0.25;0;-1;1144212640;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;1;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0.05;0.05;0;49990;0.527243;0;0.762022;0.0410124;2.88514;0.225439;-3.00917;6.9918;-7.26405;3.08677;-1.93317;3719.31;0;5867.79;26.7772;39991.7;641.327;186879;510233;568708;198395;14735.3;0.5175;0.896591;0.896708;0.0288383;0.0297203;./sim_cue_integration_18_8_2019_220237_1158032020
0;0.01;0.01;0;0;10;0.01;10;0.5;0;1;0;0.25;0;-1;1138944439;0.25;0;0.8;0.05;0.01;0.01;0.01;0.1;0.5;0;0;3;0;0.01;0.01;8;1;0;0.01;0.02;-10;0;0.05;0.05;0;49990;0.535847;0;0.146622;0.0639815;0.0853965;0.39006;-1.88208;2.22181;-6.78869;3.10544;-1.06923;2913.46;0;260.653;61.718;40000;1814.02;70129.2;133915;481910;262207;9275.32;0.53;0.811141;0.795131;0.00164026;0.00211971;./sim_cue_integration_18_8_2019_220237_1160868643
