sigmoidal_survival;laplace;p;qmat;qjuv;nloci_g;init_g;init_amat;init_ajuv;init_agen;init_bmat_phen;init_bmat_envt;gmin;gmax;amin;amax;bmin;bmax;sdmat;mu_g;sdmu_g;mu_amat;mu_ajuv;mu_agen;mu_bmat_phen;mu_bmat_envt;sdmu_a;sdmu_b;m;survival_scalar0;survival_scalar1;seed;generation;mean_ad_phen;mean_agen;mean_ajuv;mean_amat;mean_bmat_phen;mean_bmat_envt;mean_g;var_ad_phen;var_agen;var_ajuv;var_amat;var_bmat_phen;var_bmat_envt;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0;1;0.8;0.9;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;2125331935;49990;0.521729;0.35372;1.35864;0.305187;2.20178;5.49392;-2.24915;3057.75;1264.57;18511.8;39999.9;64318.9;336781;18384.9;0.5425;0.837287;0.851977;0.0165326;0.0145934;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_192329_2114715662
0;1;0.8;0.5;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1790723556;49990;0.505957;0.0559313;0.0547288;0.0639126;-0.641064;-0.0353841;-0.614369;2563.63;51.8505;43.0104;40000;12425.5;13155.3;8517.71;0.49;0.794752;0.804439;0.000245848;0.00026572;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180353_1800713845
0;1;0.1;0.5;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;826245651;49990;0.50664;0.037847;0.00766018;0.0531769;-1.63663;0.0997347;-0.111012;2568.07;25.2459;1.59134;40000;43644.2;36260.2;6754.21;0.48;0.794367;0.804732;0.000102922;9.41753e-05;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180337_807242889
0;1;0.9;0.5;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1029384625;49990;0.511763;0.502878;0.0835391;0.0684522;0.373039;1.48296;-0.046219;2838.89;2556.63;100.79;40000;15959.1;51986.1;13028.1;0.4975;0.799398;0.815343;0.0135264;0.0122684;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180356_1041441235
0;1;0.2;0.5;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1273496700;49990;0.507463;0.0447768;0.053123;0.0503961;-1.05215;0.199958;-0.488102;2577.28;28.3923;40.5797;40000;15723.3;14091.6;6957.48;0.52;0.793721;0.805698;0.000154945;0.000143569;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180340_1284057516
0;1;0.2;0.5;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1220176484;49990;0.503704;0.0398128;0.00895696;0.0426121;0.274751;-1.59224;-0.262033;2538.25;21.2965;1.96392;40000;13210.2;53331.6;7639.53;0.5;0.796273;0.802514;9.1944e-05;8.38238e-05;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180311_1203466688
0;1;0.2;0.9;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;667015300;49990;0.501298;0.165871;0.0103699;0.715812;-0.505509;5.50667;-2.05318;2590.6;285.55;2.40016;39999.5;55917;310448;16086.9;0.54;0.811422;0.813441;0.00438441;0.00445236;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180313_678548105
0;1;0.1;0.5;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;806951113;49990;0.502703;0.0436226;0.0489579;0.030325;-1.25878;1.82742;-0.660565;2528.98;27.5858;34.8356;40000;80432.3;39412.6;7680.56;0.4825;0.79744;0.801888;0.000137944;0.000135722;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193315_794620212
0;1;0.9;1;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;364834235;49990;0.498737;0.537919;2.2144;0.462311;2.30604;4.18635;-2.45158;3283.56;2903.51;49070.8;39999.8;67513.1;191240;20884.4;0.495;0.870566;0.895266;0.0334201;0.0256136;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180312_348765778
0;1;0.7;0.9;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1190657062;49990;0.516349;0.259103;1.00136;0.0476567;-0.0963653;0.294221;-1.96014;2827.91;679.637;10066.3;40000;9352.5;11450.2;14762.9;0.485;0.813735;0.833161;0.00984546;0.00832508;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180350_1180271188
