"sigmoidal_survival";"laplace";"p";"qmat";"qjuv";"sd_hc_noise";"sd_hp_noise";"sd_vc_noise";"sd_vp_noise";"sd_mat_phen_noise";"nloci_g";"init_g";"init_aintercept";"init_ajuv";"init_agen";"init_bmat_phen";"init_bmat_envt";"init_hp";"init_hc";"init_vp";"init_vc";"gmin";"gmax";"amin";"amax";"bmin";"bmax";"mu_g";"sdmu_g";"mu_ajuv";"mu_agen";"mu_aintercept";"juvenile_survival";"envt_change_at_birth";"juvenile_learns_remote_envt";"adult_survival";"mu_bmat_phen";"mu_bmat_envt";"mu_vc";"mu_vp";"mu_hc";"mu_hp";"mu_vc_t0";"mu_vp_t0";"mu_hc_t0";"mu_hp_t0";"mu_vc_t1";"mu_vp_t1";"mu_hc_t1";"mu_hp_t1";"sdmu_a";"sdmu_b";"m";"nph";"nch";"npv";"ncv";"survival_scalar0";"survival_scalar1";"seed";"generation";"mean_phen_ad";"mean_phen_juv";"mean_phen_prestige_vert";"mean_phen_prestige_horiz";"mean_aintercept";"mean_agen";"mean_ajuv";"mean_bmat_phen";"mean_bmat_envt";"mean_hc";"mean_hp";"mean_vc";"mean_vp";"mean_g";"var_phen_ad";"var_phen_juv";"var_phen_prestige_vert";"var_phen_prestige_horiz";"var_aintercept";"var_agen";"var_ajuv";"var_bmat_phen";"var_bmat_envt";"var_hc";"var_hp";"var_vc";"var_vp";"var_g";"freq_high";"mean_surv0";"mean_surv1";"var_surv0";"var_surv1";"Unnamed..34";"envt_cor_cue_ad_envt_high";"envt_cor_cue_juv_envt_high";"envt_cor_envt_prev";"envt_cor_envt_sel";"envt_cor_g";"envt_cor_maternal_envt_cue_error";"envt_cor_phen_ad";"envt_cor_phen_ad_logistic";"envt_cor_phen_juv";"envt_cor_phen_juv_logistic";"envt_cor_phen_mat";"envt_cor_phen_mat_error";"envt_cor_phen_prestige_horiz";"envt_cor_phen_prestige_horiz_error";"envt_cor_phen_prestige_vert";"envt_cor_phen_prestige_vert_error";"envt_cor_xconformist_horiz";"envt_cor_xconformist_horiz_error";"envt_cor_xconformist_vert";"envt_cor_xconformist_vert_error";"eta2_agen_X_g";"eta2_aintercept";"eta2_ajuv_X_cue_juv_envt_high";"eta2_bmat_envt_X_maternal_envt_cue_eror";"eta2_bmat_phen_X_phen_mat_error";"eta2_hc_X_xconformist_horiz_error";"eta2_hp_X_phen_prestige_horiz_error";"eta2_vc_X_xconformist_vert_error";"eta2_vp_X_phen_prestige_vert_error";"var_phen_ad.1";"var_phen_ad_logistic";"var_phen_juv.1";"var_phen_juv_logistic";"file";"NPatches";"NBreeder"
0;1;0.241;0.5;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;1;1;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;0.1;5;5;5;5;0.8;0;3248495472;75000;0.522673;0.496948;0.473922;0.51057;0.0999037;0.242413;2.14617;-4.13909;-0.153741;1.59209;9.17065;3.84975;-0.267581;-0.41975;0.239347;0.0811458;0.232575;0.156152;0.00321194;0.00708997;0.0289235;0.55453;0.655683;0.87596;0.310953;1.08804;1.32599;0.605467;0.525;0.999761;0.999415;1.68646e-06;3.10663e-05;NA;0.150187852296524;1;1;1;0.0352638413037524;0.282700364334061;0.998649009451951;0.970387198650599;0.791106492614401;0.759608421508618;-0.367790251403526;-0.367790251403526;0.985888574524709;0.985888574524709;-0.348057797166201;-0.348057797166201;0.946900262516597;0.946900262516597;-0.367841737092503;-0.367841737092503;0.0190061847131886;0.00149752870272089;0.019278265642652;0.078429288972545;0.197675536507676;0.135890852882429;0.219499952850719;0.185481506459213;0.143240883257579;0.239407135206155;31.9906796814915;0.081166135452873;2.35267824181362;"./hpcbatch_15_06_2020_214437/sim_cue_integration_15_06_2020_214427_599.csv";40;100
0;1;0.793;0.5;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0;0.01;0;0.01;0;0.01;0;0.01;0;0.01;0;0.02;0.25;0.1;5;5;5;5;0.8;0;1848797065;75000;0.549883;0.529187;0.539796;0.538672;0.0832509;-0.0140617;0.787109;-0.451944;-0.081084;1.1818;0;0.152289;0;0.121262;0.0500601;0.0160016;0.0711695;0.0372237;0.0105628;0.00326083;0.00495388;0.583761;0.13585;0.184497;0;0.194328;0;0.741188;0.6;0.81386;0.839166;0.0279188;0.0265032;NA;0.163503823862654;0.62911813060184;0.697518448882882;1;0.0228214869843172;-0.179924559020327;0.653027129412466;0.644202829204685;0.512855634152418;0.508116108787663;0.448257906117113;0.448257906117113;0.695069469447238;0.695069469447238;0.623386707225755;0.623386707225755;0.666246483018109;0.666246483018109;0.490886214755993;0.490886214755993;0.00698108376010566;0.0278072357084576;0.179416803814433;0.0935171929950867;0.0971253569182908;0.460314578572958;0;0.134837748216127;0;0.0500725923550859;1.03887745362282;0.0160056053117091;0.286878383217863;"./hpcbatch_15_06_2020_214437/sim_cue_integration_15_06_2020_214427_374.csv";40;100
0;1;0.724;1;0.5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;1;1;0.01;0.01;0.01;0;0.01;0;0.01;0;0.01;0;0.01;0;0.01;0;0.02;0.25;0.1;5;5;5;5;0.8;0;1488800099;75000;0.481282;0.485079;0.465524;0.46952;-0.0128221;0.0006964;0.127471;0.765972;0.347941;0.153933;0;0.00109048;0;0.332947;0.0102601;0.00744177;0.0203471;0.0162272;0.00292576;0.00341698;0.00607198;0.304515;0.117148;0.0892449;0;0.117213;0;0.44297;0.45;0.824084;0.807543;0.00525949;0.00569262;NA;0.389789721434562;0.00542730189471304;0.389789721434562;1;-0.0135467619752652;0.388320181520452;0.325231020933113;0.323277361841903;0.282427291228625;0.280868344857008;0.118897641728548;0.118897641728548;0.427470062514139;0.427470062514139;0.283816365053543;0.283816365053543;0.351087236071916;0.351087236071916;0.0502583723027849;0.0502583723027849;0.0146717172443033;0.0229998931782013;0.0440035562409044;0.40935569563935;0.0701962838751743;0.208509161606546;0;0.230263692211805;0;0.010262644890805;0.178320404898098;0.00744363131651751;0.126489465544897;"./hpcbatch_15_06_2020_214437/sim_cue_integration_15_06_2020_214427_348.csv";40;100
0;1;0.31;0.5;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;1;0;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;0.1;5;5;5;5;0.8;0;3736422375;75000;0.457542;0.492201;0.443953;0.475273;-0.176897;-0.199133;1.51272;-1.35268;0.336827;1.30696;9.21612;-0.067951;1.18822;-0.799325;0.223317;0.0575078;0.202595;0.112645;0.0114701;0.00366888;0.0199418;0.484409;0.328673;0.250646;0.13745;0.409851;0.834912;0.63863;0.45;0.997945;0.996442;0.000163957;0.000271055;NA;-0.0778498944161512;0.90804595360616;1;1;-0.0446172955039108;0.0611768155000396;0.99299057409373;0.958589932322773;0.705562290622244;0.686374862516052;-0.383532008084596;-0.383532008084596;0.974540058073263;0.974540058073263;-0.325232240355641;-0.325232240355641;0.881732613006855;0.881732613006855;-0.381837089461737;-0.381837089461737;0.0116625484282468;0.00445048609807525;0.0482953064592582;0.0417780713046866;0.0944092938934637;0.062131044464771;0.604609342012562;0.0398505103320176;0.0928133969983003;0.223372798796964;20.9973745915978;0.0575221993219368;1.35690204669816;"./hpcbatch_15_06_2020_214437/sim_cue_integration_15_06_2020_214427_629.csv";40;100
0;1;0.724;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;1;1;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;0.1;5;5;5;5;0.8;0;1266591596;75000;0.570444;0.520602;0.555007;0.552501;-0.15245;0.0494371;2.60205;-5.67029;3.46225;1.75327;9.21697;-2.65225;5.42104;0.750575;0.237094;0.0975472;0.242878;0.176602;0.00496436;0.014131;0.0577607;0.952707;1.66977;0.510653;0.177883;2.04732;1.18428;0.517145;0.575;0.999945;0.999743;3.02733e-07;6.16823e-06;NA;1;1;1;1;-0.0149695013867645;0.407692334985858;0.997967861181743;0.96844896253047;0.780331979939507;0.744362641217325;0.407478306593377;0.407478306593377;0.98763298936638;0.98763298936638;0.417853638382409;0.417853638382409;0.932645459490883;0.932645459490883;0.407692334985858;0.407692334985858;0.00609584891760582;0.00182553421461272;0.0198399325591096;0.172681554789879;0.169701180248353;0.0846651692251412;0.17563945591937;0.198960006380399;0.17059131773346;0.23715312438497;38.5983438754377;0.0975716001094948;3.4218340585913;"./hpcbatch_15_06_2020_214437/sim_cue_integration_15_06_2020_214427_831.csv";40;100
0;1;0.414;0.5;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;1;1;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;0.1;5;5;5;5;0.8;0;2441688424;75000;0.476503;0.477095;0.543766;0.47637;-0.0467517;0.0780313;1.80759;-4.23902;-0.437322;1.3175;8.737;-1.29056;5.34623;0.0165973;0.232263;0.0694655;0.219554;0.138456;0.00628371;0.0768331;0.0120929;0.584741;0.556913;0.811432;0.260771;0.548594;1.22895;0.572811;0.475;0.999337;0.996162;1.22975e-05;0.000582602;NA;0.102756892230577;1;1;1;-0.00319167947207016;0.199544554662603;0.996632466823613;0.963526185713518;0.762849365646485;0.735354104107352;-0.237508353154364;-0.237508353154364;0.981614254918859;0.981614254918859;-0.189703324589015;-0.189703324589015;0.933357860978552;0.933357860978552;-0.230674377800107;-0.230674377800107;0.0233159023734274;0.00318207971635447;0.0166826297692959;0.089627920177431;0.166909221298229;0.130799248786781;0.222644387833806;0.0721500599156216;0.274688550115626;0.232320727180579;24.9163304341767;0.0694828299384943;1.85765639898458;"./hpcbatch_15_06_2020_214437/sim_cue_integration_15_06_2020_214427_679.csv";40;100
0;1;0.931;0.5;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;1;1;1;0.01;0.01;0.01;0;0.01;0;0.01;0;0.01;0;0.01;0;0.01;0;0.02;0.25;0.1;5;5;5;5;0.8;0;1994033830;75000;0.547479;0.535339;0.579454;0.54246;0.160116;-0.252217;2.44542;-2.23257;0.209607;4.32107;0;2.89701;0;0.388798;0.213788;0.102701;0.227493;0.17195;0.00642235;0.0169136;0.0135342;0.498014;1.76631;0.525301;0;0.583559;0;0.674978;0.55;0.993761;0.995802;0.00182804;0.00117958;NA;0.502518907629619;1;1;1;-0.044996992869104;-0.00241090381493119;0.991147661785261;0.963419800988166;0.90028574360394;0.861248024812504;0.761917470396124;0.761917470396124;0.992832978479554;0.992832978479554;0.790086485132729;0.790086485132729;0.989898474592751;0.989898474592751;0.759385930160699;0.759385930160699;0.0440456992204552;0.00489331843172355;0.0538142100295787;0.34332986150069;0.132500628438615;0.178232490223547;0;0.24318379214218;0;0.213841128684385;14.446688245552;0.102726824801232;3.16260994997231;"./hpcbatch_15_06_2020_214437/sim_cue_integration_15_06_2020_214427_920.csv";40;100
0;1;0.517;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0;0.01;0;0.01;0;0.01;0;0.01;0;0.01;0;0.02;0.25;0.1;5;5;5;5;0.8;0;1594468006;75000;0.490732;0.486804;0.488072;0.482653;-0.0486544;0.0616047;0.077279;-0.284941;-0.0550753;-0.123365;0;0.00596135;0;-0.0484585;0.00800873;0.00636801;0.014442;0.0121935;0.008543;0.00232583;0.0202473;0.991627;0.156705;0.107592;0;0.160253;0;0.500869;0.45;0.798334;0.788892;0.00521496;0.00504548;NA;-0.155975953315591;-0.147260583087012;-0.155975953315591;1;-0.0220934117824157;-0.263414365670117;-0.00355684242797587;-0.00329840264310442;0.0030199084701242;0.00263904697686465;-0.0256397627760137;-0.0256397627760137;-0.154592913403965;-0.154592913403965;-0.137188008406937;-0.137188008406937;0.0235650530303941;0.0235650530303941;-0.0128250993383204;-0.0128250993383204;0.0210407987095822;0.0624912808305178;0.0479240104701634;0.291715172028757;0.060853668732905;0.222866139608165;0;0.293108929616834;0;0.00801073102926811;0.137257501473177;0.00636960053505049;0.107703318147607;"./hpcbatch_15_06_2020_214437/sim_cue_integration_15_06_2020_214427_254.csv";40;100
0;1;0.034;0.5;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;1;1;1;0.01;0.01;0.01;0;0.01;0;0.01;0;0.01;0;0.01;0;0.01;0;0.02;0.25;0.1;5;5;5;5;0.8;0;639392759;75000;0.479737;0.515618;0.56826;0.494375;0.495764;-0.599332;2.30339;1.29667;-0.123227;6.60059;0;-2.18309;0;0.462939;0.235736;0.101658;0.213118;0.168344;0.00807796;0.0359942;0.00747483;0.521477;0.781761;1.57388;0;0.412581;0;0.582274;0.475;0.975967;0.998153;0.0161314;0.00103813;NA;0.194946704782066;1;1;1;0.0342385630763957;-0.197276854692744;0.991950129885491;0.971727791590018;0.906473656226071;0.871144669846888;-0.834273779024617;-0.834273779024617;0.991831232320213;0.991831232320213;-0.809305323315798;-0.809305323315798;0.990488412752599;0.990488412752599;-0.843600668506314;-0.843600668506314;0.151296481478677;0.00511897335561659;0.0424686259105835;0.126154324124819;0.0957625844669056;0.393356142488838;0;0.185842868163194;0;0.235794901240592;24.2281492828799;0.101683390308519;3.04739161234188;"./hpcbatch_15_06_2020_214437/sim_cue_integration_15_06_2020_214427_504.csv";40;100
0;1;0.31;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0;0;1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;0.1;5;5;5;5;0.8;0;258600461;75000;0.479529;0.488445;0.509372;0.511753;0.0337451;-0.0124416;-0.671517;0.646032;0.232011;0.357541;-1.20717;0.25558;-0.418106;-0.454185;0.0233254;0.0129342;0.0328137;0.00544139;0.00252147;0.00390078;0.0116986;0.286821;0.107383;0.153293;0.527866;0.162567;0.181816;0.447387;0.375;0.825704;0.785004;0.0126562;0.0147336;NA;-0.146666666666667;-0.124916695537502;-0.146666666666667;1;-0.06563791178675;0.000395575779136086;0.134088830530061;0.132912461608098;0.0909332063053786;0.0904343844490388;-0.00363074383604916;-0.00363074383604916;-0.0770220382665313;-0.0770220382665313;-0.0868549167679995;-0.0868549167679995;0.128756904312225;0.128756904312225;-0.0152780093285581;-0.0152780093285581;0.0115338527628622;0.011270548724461;0.273941020485461;0.142007006816432;0.0537747748869266;0.211396339144744;0.0485623798629895;0.214383211057764;0.0331308662508033;0.0233312614691156;0.429430551822483;0.0129374833614887;0.224543801050812;"./hpcbatch_15_06_2020_214437/sim_cue_integration_15_06_2020_214427_157.csv";40;100
