laplace;bmax;init_agen;qjuv;init_g;init_hp;gmax;sigmoidal_survival;gmin;init_amat;mu_hc;mu_bmat_phen;ncv;init_asoc_vert;init_hc;init_ajuv;sdsoc_horiz;init_vp;mu_hp;seed;nch;nph;sdmu_a;init_bmat_phen;mu_amat;mu_g;mu_agen;qmat;init_bmat_envt;npv;sdmu_g;p;sdsoc_vert;mu_asoc_horiz;survival_scalar1;bmin;amax;mu_vp;init_vc;mu_bmat_envt;nloci_g;init_asoc_horiz;mu_asoc_vert;sdmu_b;mu_ajuv;m;mu_vc;sdmat;survival_scalar0;amin;generation;mean_phen_ad;mean_phen_juv;mean_phen_prestige_vert;mean_phen_prestige_horiz;mean_agen;mean_ajuv;mean_amat;mean_asoc_vert;mean_asoc_horiz;mean_bmat_phen;mean_bmat_envt;mean_hc;mean_hp;mean_vc;mean_vp;mean_g;var_phen_ad;var_phen_juv;var_phen_prestige_vert;var_phen_prestige_horiz;var_agen;var_ajuv;var_amat;var_asoc_vert;var_asoc_horiz;var_bmat_phen;var_bmat_envt;var_hc;var_hp;var_vc;var_vp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;var_component_gen;var_component_ajuv;var_component_amat;var_component_amat_envt;var_component_amat_phen;cov_amat_phen_amat_envt;cov_amat_ajuv;cov_amat_envt_ajuv;cov_amat_phen_ajuv;var_component_asoc_vert;var_component_asoc_vert_p;var_component_asoc_vert_c;var_component_asoc_horiz;var_component_asoc_horiz_p;var_component_asoc_horiz_c;cov_amat_asoc_vert;cov_amat_asoc_vert_c;cov_amat_asoc_vert_p;cov_amat_asoc_horiz;cov_amat_asoc_horiz_c;cov_amat_asoc_horiz_p;cov_amat_envt_asoc_vert;cov_amat_envt_asoc_vert_c;cov_amat_envt_asoc_vert_p;cov_amat_envt_asoc_horiz;cov_amat_envt_asoc_horiz_c;cov_amat_envt_asoc_horiz_p;cov_amat_phen_asoc_vert;cov_amat_phen_asoc_vert_c;cov_amat_phen_asoc_vert_p;cov_amat_phen_asoc_horiz;cov_amat_phen_asoc_horiz_c;cov_amat_phen_asoc_horiz_p;cov_ajuv_asoc_vert;cov_ajuv_asoc_vert_c;cov_ajuv_asoc_vert_p;cov_ajuv_asoc_horiz;cov_ajuv_asoc_horiz_c;cov_ajuv_asoc_horiz_p;cov_agen_asoc_vert;cov_agen_asoc_vert_c;cov_agen_asoc_vert_p;cov_agen_asoc_horiz;cov_agen_asoc_horiz_c;cov_agen_asoc_horiz_p;cov_agen_ajuv;file
1;10;0;1;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;720538827;0;0;0.02;0;0.01;0.01;0.01;0.5;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.1;0;0.05;0.8;0;75000;0.516308;0.516308;0;0;0.72823;2.6201;0.108893;0;0;2.20177;-0.3646;0;0;0;0;-1.82733;0.0887597;0.0887597;0;0;0.00431131;0.00833839;40000;0;0;8.97089;18.0102;0;0;0;0;0.215754;0.5125;0.905128;0.892223;0.0246017;0.0292589;0.130747;1.71901;0.00373014;0.00382842;0.00198216;0.00110203;0.00205682;0.00235744;-4.92646e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00134348;./sim_cue_integration_30_10_2019_223211_690539522
1;10;0;1;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;725563050;0;0;0.02;0;0.01;0.01;0.01;0.5;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.2;0;0.05;0.8;0;75000;0.512471;0.512471;0;0;0.651676;2.4273;0.102792;0;0;3.22606;1.42877;0;0;0;0;-1.88993;0.0788436;0.0788436;0;0;0.00450553;0.00873895;40000;0;0;8.07348;9.18915;0;0;0;0;0.204312;0.5225;0.868673;0.882935;0.0323686;0.0281196;0.104107;1.47843;0.00323817;0.00324703;0.00198738;0.00110018;-0.00101647;-0.000766056;-0.000526344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.23274e-05;./sim_cue_integration_30_10_2019_223211_671192318
1;10;0;0.9;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;734011421;0;0;0.02;0;0.01;0.01;0.01;0.6;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.1;0;0.05;0.8;0;75000;0.493448;0.493448;0;0;0.74976;1.88373;0.99639;0;0;8.69662;0.410359;0;0;0;0;-1.89475;0.0774202;0.0774202;0;0;0.0057387;0.0111069;39999;0;0;0.533758;0.668435;0;0;0;0;0.224732;0.5125;0.874219;0.87298;0.0277514;0.0280687;0.150518;0.890608;0.160203;0.0465906;0.16885;0.0108432;0.0324605;0.00616486;0.0330029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00336175;./sim_cue_integration_30_10_2019_223224_707118661
1;10;0;0.9;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;1339055435;0;0;0.02;0;0.01;0.01;0.01;0.6;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.2;0;0.05;0.8;0;75000;0.499691;0.499691;0;0;0.667912;1.71198;0.897839;0;0;8.30511;0.216545;0;0;0;0;-1.93142;0.0634114;0.0634114;0;0;0.00399414;0.0110404;39999.2;0;0;1.09414;0.518756;0;0;0;0;0.197562;0.465;0.854557;0.852897;0.0274317;0.0273581;0.104261;0.737694;0.115357;0.0276618;0.117263;0.00884187;0.0237465;0.00208939;0.0236699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00175093;./sim_cue_integration_30_10_2019_223239_1367225016
1;10;0;0.8;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;62167155;0;0;0.02;0;0.01;0.01;0.01;0.7;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.1;0;0.05;0.8;0;75000;0.499442;0.499442;0;0;0.718301;1.36411;1.38209;0;0;8.98663;0.882942;0;0;0;0;-1.89685;0.0600237;0.0600237;0;0;0.00353664;0.0105162;39998.1;0;0;0.469574;0.359169;0;0;0;0;0.224739;0.4875;0.849704;0.863492;0.0255352;0.021878;0.131148;0.470803;0.283482;0.107973;0.266224;0.049602;0.0795024;0.0245881;0.0726105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0200901;./sim_cue_integration_30_10_2019_223255_107452429
1;10;0;0.7;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;90786559;0;0;0.02;0;0.01;0.01;0.01;0.8;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.2;0;0.05;0.8;0;75000;0.501048;0.501048;0;0;0.646008;0.837901;1.45276;0;0;8.74805;1.68805;0;0;0;0;-1.69403;0.0442945;0.0442945;0;0;0.00536997;0.0125186;39997.9;0;0;0.492577;0.518509;0;0;0;0;0.293828;0.4775;0.824891;0.838233;0.0214026;0.020182;0.14195;0.182062;0.327324;0.251187;0.2375;0.095412;0.0687086;0.0446396;0.0535083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0194926;./sim_cue_integration_30_10_2019_223255_121485899
1;10;0;0.7;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;91608475;0;0;0.02;0;0.01;0.01;0.01;0.8;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.1;0;0.05;0.8;0;75000;0.539487;0.539487;0;0;0.692076;0.905367;1.64751;0;0;8.31322;1.38867;0;0;0;0;-1.75159;0.050403;0.050403;0;0;0.00569233;0.0142785;39997.3;0;0;0.828189;0.366559;0;0;0;0;0.274006;0.54;0.829848;0.853422;0.0254348;0.0205555;0.153321;0.212502;0.402183;0.257419;0.31763;0.114056;0.0871278;0.0459645;0.0712227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0246886;./sim_cue_integration_30_10_2019_223255_139700815
1;10;0;0.8;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;1098391134;0;0;0.02;0;0.01;0.01;0.01;0.7;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.2;0;0.05;0.8;0;75000;0.518888;0.518888;0;0;0.638051;1.26049;1.16288;0;0;9.0053;0.899774;0;0;0;0;-1.84009;0.0484812;0.0484812;0;0;0.00462797;0.0093606;39998.6;0;0;0.37922;0.436071;0;0;0;0;0.232433;0.52;0.827091;0.847076;0.0243632;0.0207384;0.112008;0.398876;0.185538;0.0800554;0.168167;0.0306301;0.0454708;0.0160351;0.0416669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00799321;./sim_cue_integration_30_10_2019_223256_1161961066
1;10;0;0.6;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;1046369892;0;0;0.02;0;0.01;0.01;0.01;0.9;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.1;0;0.05;0.8;0;75000;0.510635;0.510635;0;0;0.579903;0.361951;1.753;0;0;8.00941;2.40836;0;0;0;0;-1.74211;0.0459051;0.0459051;0;0;0.00701594;0.0122531;39996.9;0;0;1.13673;0.487825;0;0;0;0;0.280665;0.485;0.821281;0.848414;0.0246219;0.0197176;0.119931;0.039535;0.577481;0.52893;0.337437;0.240656;0.0724727;0.0671867;0.0404128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0111994;./sim_cue_integration_30_10_2019_225905_1017954910
1;10;0;0.6;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;1836425406;0;0;0.02;0;0.01;0.01;0.01;0.9;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.2;0;0.05;0.8;0;75000;0.504525;0.504525;0;0;0.540074;0.332583;1.55548;0;0;8.51724;2.71352;0;0;0;0;-1.72353;0.0378476;0.0378476;0;0;0.00690995;0.0132383;39997.6;0;0;0.674209;0.604889;0;0;0;0;0.282647;0.495;0.835557;0.840997;0.0181058;0.0175236;0.106038;0.0348916;0.449975;0.451982;0.251402;0.155429;0.0550862;0.052469;0.0287095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00783955;./sim_cue_integration_30_10_2019_225917_1884822768
